Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
ABVX,ABIVAX Société Anonyme,Healthcare,Biotechnology,131.98,37.26,5394110,711.91M,3.03,101.22,111.29,111.48,70.3,5.38,10.52B,2137.82,-40.36,35.2%,N/A,100.0%,-4183.7%,6.2%,1.5 - Buy,10,1,0,108.0,150.73,187.0,14.2%,"ABIVAX Société Anonyme, a clinical-stage biotechnology company, develops therapeutics that harness the body's natural regulatory mechanisms to stabilize the immune response in patients with chronic inflammatory diseases. Its lead drug candidate includes obefazimod, which is in Phase 3 clinical development for the treat",85,Watchlist candidate
HSAI,Hesai Group,Consumer Cyclical,Auto Parts,18.39,16.66,4103981,75.45M,2.31,16.09,20.04,22.93,49.7,4.2,2.89B,0.91,20.34,29.6%,N/A,41.2%,-1.3%,4.6%,1.2 - Strong Buy,21,0,0,25.45,30.4,36.19,65.3%,"Hesai Group, through with its subsidiaries, engages in the development, manufacturing, and sale of three-dimensional light detection and ranging solutions (LiDAR) in Mainland China, Europe, North America, and internationally. The company provides gas sensor products, validation services, solution service, and other ser",85,Watchlist candidate
FIGR,"Figure Technology Solutions, Inc.",Financial Services,Capital Markets,30.25,11.73,3981759,120.43M,0.97,28.01,33.22,38.87,58.3,6.7,6.69B,13.1,21.25,119.2%,N/A,100.0%,24.9%,4.8%,1.9 - Buy,6,0,1,33.0,55.14,75.0,82.3%,"Figure Technology Solutions, Inc., a financial technology company, provides blockchain-based products and solutions in the United States. The company offers a suite of blockchain-based solutions for its marketplaces, including lending, trading, and investing activities in areas, such as consumer credit and digital asse",80,Watchlist candidate
AVAV,"AeroVironment, Inc.",Industrials,Aerospace & Defense,160.61,15.55,5333697,856.65M,4.09,148.3,176.47,254.96,41.5,5.78,8.13B,5.05,29.76,143.4%,N/A,25.0%,-5.1%,12.6%,1.7 - Buy,15,3,0,205.0,285.99,400.0,78.1%,"AeroVironment, Inc. designs, develops, produces, delivers, and supports a portfolio of robotic systems and related services for government agencies and businesses in the United States and internationally. It operates in two segments, Autonomous Systems; and Space, Cyber and Directed Energy. The company provides uncrewe",70,Watchlist candidate
AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,82.73,23.46,2243704,185.63M,1.85,68.14,72.35,71.58,66.6,5.6,3.63B,8.95,72.05,16.9%,N/A,58.8%,-19.3%,7.9%,2.1 - Buy,7,7,0,80.0,95.0,120.0,14.8%,"Ambarella, Inc. develops low-power system-on-a-chip, semiconductors, and software for edge and physical artificial intelligence, applications, and intelligent automation. The company's system-on-a-chip (SOC) integrates third generation CVflow technology with advanced video processing, image signal processing, audio pro",65,Needs confirmation
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,274.25,11.63,3501332,960.24M,0.41,267.68,214.53,157.86,58.4,9.16,51.17B,38.32,30.79,157.0%,343.2%,68.0%,35.7%,5.7%,1.3 - Strong Buy,18,1,0,184.0,269.81,350.0,-1.6%,"Credo Technology Group Holding Ltd provides various high-speed connectivity solutions for optical and electrical Ethernet and PCIe applications in the United States, Taiwan, Mainland China, Hong Kong, and other international markets. The company offers ZeroFlap (ZF) active electrical cables and ZF optical transceivers,",65,Needs confirmation
OUST,"Ouster, Inc.",Technology,Electronic Components,61.23,13.25,4919820,301.27M,1.17,47.4,36.57,27.5,74.8,9.63,3.90B,21.03,-1360.0,48.9%,N/A,47.7%,-39.5%,8.4%,1.3 - Strong Buy,6,1,0,33.0,46.86,75.0,-23.5%,"Ouster, Inc. engages in the production and sale of lidar sensor kits for the automotive, industrial, robotics, and smart infrastructure industries in the Americas, the Asia-Pacific, Europe, the Middle East, and Africa. The company offers the Outer Sensor (OS) product line, including OSDome that provides a hemispheric f",50,Needs confirmation
LB,LandBridge Company LLC,Energy,Oil & Gas Equipment & Services,77.98,11.64,244104,19.04M,0.68,65.69,68.85,62.74,64.2,4.85,6.01B,29.13,34.0,16.1%,15.1%,99.0%,57.2%,12.3%,N/A,4,3,0,66.0,80.57,98.0,3.3%,"LandBridge Company LLC, together with its subsidiaries, owns and manages land and resources to support and enhance oil and natural gas development in the United States. It owns surface acres in and around the Delaware Basin in Texas and New Mexico. The company holds a portfolio of oil and gas royalties. It sells bracki",50,Needs confirmation
VSAT,"Viasat, Inc.",Technology,Communication Equipment,85.25,11.16,2482385,211.61M,1.08,67.29,68.61,47.47,69.0,7.03,11.64B,2.51,211.34,2.1%,N/A,33.0%,-1.8%,10.5%,1.8 - Buy,8,2,0,49.0,94.56,140.0,10.9%,"Viasat, Inc. engages in the provision of broadband and communications products and services in the United States and internationally. It operates in segments, Communication Services; and Defense and Advanced Technologies. It offers satellite-based broadband and narrowband communications solutions; broadband services, i",45,Needs confirmation
RARE,Ultragenyx Pharmaceutical Inc.,Healthcare,Biotechnology,33.78,10.12,2309672,78.03M,1.12,29.85,25.15,26.99,93.0,4.31,3.33B,4.97,35.0,-2.2%,N/A,-28.1%,-102.2%,15.0%,1.5 - Strong Buy,17,2,0,25.0,52.05,96.0,54.1%,"Ultragenyx Pharmaceutical Inc., a biopharmaceutical company, focuses on the identification, acquisition, development, and commercialization of novel products for the treatment of rare and ultra-rare genetic diseases in North America, Latin America, Europe, the Middle East, Africa, and the Asia-Pacific. Its biologic pro",30,Speculative / news-only
WOLF,"Wolfspeed, Inc.",Technology,Semiconductors,49.48,11.84,3034006,150.12M,0.42,49.08,48.76,N/A,50.6,13.04,2.57B,3.61,-9.89,-19.0%,N/A,-17.4%,-72.0%,N/A,3.5 - Hold,0,1,1,40.0,40.0,40.0,-19.2%,"Wolfspeed, Inc., a semiconductor company, focuses on silicon carbide and gallium nitride (GaN) technologies in Europe, Hong Kong, China, rest of Asia Pacific, the United States, and internationally. The company offers silicon carbide and GaN materials, including silicon carbide bare wafers, epitaxial wafers, and GaN ep",15,Speculative / news-only
FCEL,"FuelCell Energy, Inc.",Industrials,Electrical Equipment & Parts,36.48,22.42,14826761,540.88M,1.49,25.22,18.51,10.52,79.2,11.05,2.47B,14.69,-28.1,-4.9%,N/A,-18.2%,-99.3%,10.2%,2.9 - Hold,3,3,2,8.0,22.0,32.0,-39.7%,"FuelCell Energy, Inc., together with its subsidiaries, engages in the design, development, production, construction, operation, and servicing of high temperature fuel cells for clean electric power generation. The company engages in the provision of carbonate fuel cell technology; and commercialization of solid oxide e",0,Speculative / news-only
