Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
FUTU,Futu Holdings Limited,Financial Services,Capital Markets,105.1,17.09,13126253,1.38B,4.94,121.99,145.3,163.41,27.7,8.18,14.76B,0.7,7.67,53.1%,79.3%,94.4%,69.1%,5.2%,1.3 - Strong Buy,18,1,0,99.99,210.57,259.69,100.4%,"Futu Holdings Limited engages in the provision of digitalized securities brokerage and wealth management product distribution service in Hong Kong and internationally. It offers online financial services, including securities and derivative trades brokerage, margin financing and fund distribution services through its F",85,Watchlist candidate
MOD,Modine Manufacturing Company,Consumer Cyclical,Auto Parts,303.43,16.47,2341269,710.40M,2.28,265.8,242.73,179.44,59.5,5.64,16.00B,5.57,41.13,30.5%,N/A,23.8%,11.9%,7.5%,1.1 - Strong Buy,8,0,0,250.0,265.57,310.0,-12.5%,"Modine Manufacturing Company designs, engineers, tests, manufactures, and sells mission-critical thermal solutions in the United States, Canada, Italy, Hungary, the United Kingdom, China, and internationally. The company offers heat transfer products, including round tube plate fin construction; gas-fired, hydronic, el",85,Watchlist candidate
HCC,"Warrior Met Coal, Inc.",Basic Materials,Coking Coal,93.41,11.3,498099,46.53M,0.57,86.13,88.76,79.4,64.5,3.79,4.93B,3.35,12.56,54.0%,N/A,28.3%,17.3%,12.1%,1.9 - Buy,4,3,0,90.0,104.83,120.0,12.2%,"Warrior Met Coal, Inc. engages in the production and export of non-thermal steelmaking coal for the steel production by metal manufacturers in Europe, South America, and Asia. It offers hard-coking coal through the operation of underground mines located in Alabama. The company also sells natural gas extracted as a bypr",80,Watchlist candidate
XNDU,Xanadu Quantum Technologies Limited,Technology,Software - Infrastructure,18.16,19.64,7494102,136.13M,1.37,14.32,N/A,N/A,63.1,11.18,5.43B,1176.92,-14.74,163.7%,N/A,92.2%,-1084.7%,8.1%,1.0 - Strong Buy,2,0,0,43.0,44.0,45.0,142.2%,"Xanadu Quantum Technologies Limited develops and provides photonic quantum computing technology and related software solutions and applications, including cloud-based access to quantum computers and tools for quantum programming and simulation. The company provides access to photonic quantum computers through x-series ",65,Needs confirmation
MU,"Micron Technology, Inc.",Technology,Semiconductors,882.49,17.51,44700546,39.45B,0.96,750.97,528.12,326.41,70.0,5.89,994.30B,17.11,8.48,196.3%,756.0%,58.4%,67.6%,3.3%,1.5 - Strong Buy,39,4,1,249.0,613.23,1100.0,-30.5%,"Micron Technology, Inc. designs, develops, manufactures, and sells memory and storage products in the United States, Taiwan, Japan, Mainland China, Hong Kong, Europe, and internationally. It operates through the Cloud Memory Business Unit; Core Data Center Business Unit; Mobile and Client Business Unit; and Automotive ",65,Needs confirmation
ENLT,Enlight Renewable Energy Ltd,Utilities,Utilities - Renewable,102.94,11.58,187644,19.32M,1.11,90.2,81.6,52.68,61.5,3.32,14.34B,26.79,108.18,42.6%,-78.7%,72.8%,54.8%,0.3%,2.5 - Buy,4,2,2,37.0,79.86,105.0,-22.4%,"Enlight Renewable Energy Ltd operates a renewable energy platform in Israel, the Middle East, North Africa, Europe, the United States, and internationally. The company develops, finances, constructs, owns, and operates utility-scale renewable energy projects. It develops wind energy and solar energy projects, as well a",65,Needs confirmation
TE,T1 Energy Inc.,Industrials,Electrical Equipment & Parts,10.6,31.11,48521997,514.09M,2.26,7.67,5.83,5.03,81.4,9.07,2.96B,3.37,27.92,232.3%,N/A,7.6%,-12.7%,21.3%,1.2 - Strong Buy,5,0,0,8.0,9.1,11.0,-14.1%,"T1 Energy Inc. provides energy solutions for solar modules and cells in the United States, Norway and internationally. It manufactures and sells photovoltaic solar modules. The company was formerly known as FREYR Battery, Inc. and changed its name to T1 Energy Inc. in February 2025. T1 Energy Inc. is headquartered in A",55,Needs confirmation
RDW,Redwire Corporation,Industrials,Aerospace & Defense,22.21,26.99,72295695,1.61B,2.72,15.72,10.65,9.08,92.0,8.41,4.42B,11.93,-54.24,57.9%,N/A,12.9%,-71.8%,16.7%,1.5 - Strong Buy,8,1,1,7.0,14.33,22.0,-35.5%,"Redwire Corporation provides critical space solutions and space infrastructure for government and commercial customers in the United States, Europe, and internationally. It operates in two segments Space and Defense Tech. The company offers sensors and avionics systems, including star trackers and sun sensors, which ar",55,Needs confirmation
OUST,"Ouster, Inc.",Technology,Electronic Components,43.2,16.71,6564889,283.64M,2.08,34.55,25.28,25.78,71.1,9.73,2.75B,14.84,-1080.13,48.9%,N/A,47.7%,-39.5%,8.5%,N/A,5,1,0,33.0,40.0,50.0,-7.4%,"Ouster, Inc. engages in the production and sale of lidar sensor kits for the automotive, industrial, robotics, and smart infrastructure industries in the Americas, the Asia-Pacific, Europe, the Middle East, and Africa. The company offers the Outer Sensor (OS) product line, including OSDome that provides a hemispheric f",55,Needs confirmation
VICR,Vicor Corporation,Technology,Electronic Components,312.99,16.79,725173,226.97M,0.8,271.27,224.7,132.69,58.8,7.71,14.27B,33.43,59.54,20.2%,701.4%,54.5%,14.9%,7.7%,N/A,4,0,0,260.0,282.5,325.0,-9.7%,"Vicor Corporation, together with its subsidiaries, designs, develops, manufactures, and markets modular power components and power systems for converting electrical power for use in electrically powered devices in the United States, Europe, the Asia Pacific, and internationally. The company offers a range of brick-form",50,Needs confirmation
