Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
ABVX,ABIVAX Société Anonyme,Healthcare,Biotechnology,88.78,22.46,5256068,466.63M,3.91,116.4,116.96,109.69,34.7,7.41,7.08B,1438.07,-30.74,35.2%,N/A,100.0%,-4183.7%,3.1%,1.4 - Strong Buy,10,0,0,131.0,154.7,176.0,74.3%,"ABIVAX Société Anonyme, a clinical-stage biotechnology company, develops therapeutics that harness the body's natural regulatory mechanisms to stabilize the immune response in patients with chronic inflammatory diseases. Its lead drug candidate includes obefazimod, which is in Phase 3 clinical development for the treat",70,Watchlist candidate
TGTX,"TG Therapeutics, Inc.",Healthcare,Biotechnology,40.81,11.38,2011297,82.08M,0.99,38.68,36.63,32.66,42.7,3.44,6.25B,8.92,14.21,69.6%,300.0%,83.1%,17.0%,26.5%,1.7 - Buy,7,1,1,17.0,48.0,70.0,17.6%,"TG Therapeutics, Inc., a commercial stage biopharmaceutical company, focuses on the acquisition, development, and commercialization of novel treatments for B-cell mediated diseases in the United States and internationally. The company provides BRIUMVI, an anti-CD20 monoclonal antibody for the treatment of adult patient",65,Needs confirmation
MMED,"MiniMed Group, Inc.",Healthcare,Medical Instruments & Supplies,14.21,15.53,1929650,27.42M,1.93,11.99,12.92,N/A,75.2,5.85,3.99B,1.34,17.13,15.0%,N/A,56.7%,-11.0%,15.3%,1.3 - Strong Buy,11,1,0,16.0,21.27,26.0,49.7%,"MiniMed Group, Inc. operates as a medical technology company that develops, manufactures, and markets medical equipment for the management of diabetes. The company offers technologies including insulin delivery devices, including insulin pumps and pens, continuous glucose monitors, other consumables, supplies, and rela",50,Needs confirmation
NVTS,Navitas Semiconductor Corporation,Technology,Semiconductors,32.46,25.53,94551537,3.07B,3.11,28.53,16.83,10.81,68.3,9.21,7.69B,189.96,-226.17,-38.7%,N/A,30.1%,-317.7%,18.8%,N/A,2,5,1,7.0,13.59,21.0,-58.1%,"Navitas Semiconductor Corporation designs, develops, and markets power semiconductors in the United States, Europe, China, rest of Asia, and internationally. The company offers gallium nitride power integrated circuits, silicon carbide power devices, silicon system controllers, and digital isolators for power conversio",35,Speculative / news-only
POET,POET Technologies Inc.,Technology,Semiconductors,15.59,12.81,36643365,571.27M,1.0,13.76,9.99,7.17,52.8,13.65,2.69B,2504.15,-91.71,1075.3%,N/A,100.0%,-4174.4%,9.6%,N/A,1,0,0,8.0,8.2,8.4,-47.4%,"POET Technologies Inc., together with its subsidiaries, designs, develops, manufactures, and sells semiconductor products and services for commercial applications in the United States, Canada, the rest of North and South America, Europe, Malaysia, Singapore, China, and the rest of Asia. The company offers photonic inte",35,Speculative / news-only
