Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,158.25,25.94,94549388,14.96B,2.31,128.78,130.91,152.51,67.3,3.98,379.45B,72.63,73.08,84.7%,325.0%,84.1%,46.2%,3.6%,1.9 - Buy,20,10,2,70.0,185.68,255.0,17.3%,"Palantir Technologies Inc. builds and deploys software platforms for the intelligence community to assist in counterterrorism investigations and operations in the United States, the United Kingdom, and internationally. It provides Palantir Gotham integrates with other platforms for defense offerings which enables users",100,Watchlist candidate
AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,338.81,14.32,566594,191.97M,0.58,290.1,319.45,288.09,58.8,5.51,13.56B,7.12,27.57,26.3%,144.8%,39.0%,14.3%,6.1%,1.5 - Strong Buy,10,2,0,350.0,428.73,535.0,26.5%,"Advanced Energy Industries, Inc. provides precision power conversion, measurement, and control solutions in the United States, Asia, Europe, and internationally. The company's plasma power products offer solutions to enable innovation for semiconductor and thin film plasma processes, such as dry etch and deposition. It",80,Watchlist candidate
COHR,Coherent Corp.,Technology,Scientific & Technical Instruments,329.1,14.21,5131771,1.69B,0.88,268.52,345.03,256.93,55.5,6.97,64.36B,9.75,39.68,20.5%,1118.3%,37.0%,13.6%,5.2%,1.6 - Buy,17,5,0,230.0,391.45,465.0,18.9%,"Coherent Corp. develops, manufactures, and markets engineered materials, optoelectronic components and devices, and laser systems for the use in the industrial, communications, electronics, and instrumentation markets worldwide. It operates through three segments: Networking, Materials, and Lasers. The Networking segme",80,Watchlist candidate
MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,218.09,12.55,17111949,3.73B,0.41,187.99,240.14,136.25,54.1,6.13,195.69B,22.45,34.93,27.6%,-80.4%,51.5%,14.5%,4.3%,1.4 - Strong Buy,38,5,0,126.0,256.91,400.0,17.8%,"Marvell Technology, Inc., together with its subsidiaries, provides data infrastructure semiconductor solutions and spanning the data center core to network edge in the United States, Argentina, China, India, Israel, Japan, Singapore, South Korea, Taiwan, Vietnam, and internationally. The company develops and scales sys",80,Watchlist candidate
LFTO,"Liftoff Mobile, Inc.",Communication Services,Advertising Agencies,25.12,11.97,289740,7.28M,0.26,22.64,N/A,N/A,56.8,4.76,4.25B,5.74,20.71,37.1%,1233.3%,85.7%,41.8%,1.1%,1.6 - Buy,13,2,0,30.0,35.46,42.0,41.1%,"Liftoff Mobile, Inc. provides mobile advertising, monetization, and performance marketing solutions in the United States, the Asia Pacific, Europe, the Middle East, Africa, Canada, and Latin America. The company offers a platform called Cortex, which uses neural network technology to enhance advertiser performance. It ",80,Watchlist candidate
AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment,132.94,20.62,12606675,1.68B,1.07,98.78,141.26,90.94,59.2,8.54,10.67B,21.05,27.86,51.4%,N/A,29.6%,-8.6%,12.9%,2.3 - Buy,3,3,0,57.5,150.3,220.0,13.1%,"Applied Optoelectronics, Inc. engages in the design, manufacture, and sale of fiber-optic networking products in the United States, Taiwan, and China. The company offers optical modules, optical filters, lasers, laser components, subassemblies, transmitters and transceivers, turn-key equipment, headend, node, and distr",65,Needs confirmation
FN,Fabrinet,Technology,Electronic Components,531.05,16.47,640973,340.39M,0.64,459.1,553.07,531.13,56.5,5.68,N/A,N/A,30.66,39.3%,53.3%,12.0%,9.9%,7.4%,1.8 - Buy,7,2,0,635.0,732.44,850.0,37.9%,"Fabrinet provides optical packaging and precision optical, electro-mechanical, and electronic manufacturing services in North America, the Asia-Pacific, and Europe. The company offers a range of advanced optical and electro-mechanical capabilities in the manufacturing process, including process design and engineering, ",65,Needs confirmation
DORM,"Dorman Products, Inc.",Consumer Cyclical,Auto Parts,148.06,15.96,843216,124.85M,2.98,137.17,132.12,124.73,58.2,4.24,4.42B,2.06,15.78,4.2%,-23.5%,40.9%,13.5%,9.1%,1.3 - Strong Buy,8,0,0,140.0,154.12,170.0,4.1%,"Dorman Products, Inc. supplies replacement and upgrade parts for the motor vehicle aftermarket industry in the United States and internationally. It operates through segments Light Duty, Heavy Duty, and Specialty Vehicle segments. The company offers engine products, including intake and exhaust manifolds, oil filters a",65,Needs confirmation
GENI,Genius Sports Limited,Communication Services,Internet Content & Information,7.87,11.33,8268667,65.08M,1.27,7.15,6.39,7.41,72.5,5.6,2.10B,2.95,8.11,30.5%,N/A,22.7%,-15.8%,13.5%,1.3 - Strong Buy,18,2,0,6.0,10.15,18.0,29.0%,"Genius Sports Limited provides technology-led products and services to the sports, sports betting, and sports media industries in the Americas, Europe, and internationally. It offers technology infrastructure for the collection, integration, and distribution of live optical tracking, event data, and video for league's ",65,Needs confirmation
INOD,Innodata Inc.,Technology,Information Technology Services,70.42,11.31,1049683,73.91M,0.53,60.6,81.23,61.88,56.8,5.32,2.30B,8.11,35.21,54.4%,90.9%,41.5%,18.8%,14.6%,N/A,4,0,0,111.0,122.75,140.0,74.3%,"Innodata Inc. operates as a data engineering company in the United States, the United Kingdom, the Netherlands, Canada, Germany, Belgium, and internationally. The company operates through three segments: Digital Data Solutions (DDS), Synodex, and Agility. The DDS segment engages in the provision of artificial intellige",65,Needs confirmation
