Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
FPS,"Forgent Power Solutions, Inc.",Industrials,Electrical Equipment & Parts,35.1,11.95,11212413,393.61M,1.36,31.35,35.73,N/A,56.7,5.44,11.20B,7.89,17.74,94.3%,N/A,35.0%,19.9%,20.7%,1.3 - Strong Buy,9,1,0,51.0,59.2,73.0,68.6%,"Forgent Power Solutions, Inc. engages in the design and manufacture of electrical distribution equipment used in data centers, the power grid, and energy-intensive industrial facilities. The company's products include dry type transformers, liquid filled transformers, switchgear, switchboards, panelboards, remote power",80,Watchlist candidate
SMTC,Semtech Corporation,Technology,Semiconductors,168.57,11.7,2182534,367.91M,0.65,158.42,134.93,110.69,63.7,5.89,15.73B,13.4,28.89,32.7%,N/A,52.9%,16.2%,9.4%,1.2 - Strong Buy,14,1,0,155.0,209.29,300.0,24.2%,"Semtech Corporation provides semiconductor, Internet of Things systems, and cloud connectivity service solutions in the Asia- Pacific, North America, and Europe. The company operates in three segments: Signal Integrity, Analog Mixed Signal and Wireless, and IoT Systems and Connectivity. It provides signal integrity pro",80,Watchlist candidate
AXTI,"AXT, Inc.",Technology,Semiconductor Equipment & Materials,63.7,10.4,6230431,396.88M,0.61,63.5,62.69,56.51,48.5,8.2,4.18B,33.28,28.31,164.8%,N/A,32.2%,21.9%,14.6%,1.6 - Buy,4,1,0,55.0,91.6,125.0,43.8%,"AXT, Inc. designs, develops, manufactures, and distributes compound and single element semiconductor substrates. The company provides indium phosphide for use in data center connectivity using light/lasers, high-speed data transfer in data centers, 5G communications, fiber optic lasers and detectors, consumer devices, ",80,Watchlist candidate
WOR,"Worthington Enterprises, Inc.",Industrials,Metal Fabrication,59.87,10.14,361484,21.64M,1.24,58.59,56.95,55.19,54.6,3.38,2.93B,2.12,14.49,16.9%,1134.1%,27.4%,6.4%,3.5%,2.3 - Buy,3,0,1,50.0,65.6,76.0,9.6%,"Worthington Enterprises, Inc. operates as an industrial manufacturing company. It operates through two segments, Consumer Products and Building Products. The Consumer Products segment provides products in the tools, outdoor living, and celebrations. Its products include hand-held torches, micro torches, lighters, acces",50,Needs confirmation
CIFR,Cipher Digital Inc.,Technology,Information Technology Services,16.74,10.93,42427879,710.25M,1.37,16.68,18.55,18.4,52.5,7.85,6.95B,36.36,77.26,-43.0%,N/A,-10.0%,-301.7%,21.0%,1.3 - Strong Buy,17,0,0,22.0,32.18,69.0,92.2%,"Cipher Digital Inc., together with its subsidiaries, develops and operates industrial-scale data centers for bitcoin mining and high-performance compute (HPC) hosting in the United States. It develops HPC data center facilities across various sites for hyperscaler tenants; operates power at one bitcoin mining data cent",45,Needs confirmation
