Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
VRNS,"Varonis Systems, Inc.",Technology,Software - Infrastructure,37.67,15.16,4710953,177.46M,2.11,33.92,29.32,35.0,57.2,5.26,4.42B,6.7,98.56,26.9%,N/A,78.1%,-25.1%,8.7%,1.8 - Buy,17,7,0,28.0,36.5,47.0,-3.1%,"Varonis Systems, Inc. provides software products and services that continuously discover and classify critical data, remediate exposures, and detect advanced threats with AI-powered technology in North America, Europe, APAC, and rest of worlds. The company offers Varonis Data Security Platform, a Software-as-a-Service ",70,Watchlist candidate
VKTX,"Viking Therapeutics, Inc.",Healthcare,Biotechnology,35.67,10.21,3176572,113.32M,1.45,30.67,31.48,32.49,76.5,4.43,4.14B,N/A,-7.81,N/A,N/A,0.0%,0.0%,20.4%,1.5 - Strong Buy,18,2,0,34.0,92.58,125.0,159.5%,"Viking Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on the development of novel therapies for metabolic and endocrine disorders. Its lead drug candidate is VK2809, an orally available tissue and receptor-subtype selective agonist of the thyroid hormone receptor beta (TRß), which is in Phase I",30,Speculative / news-only
INFQ,"Infleqtion, Inc.",Technology,Software - Infrastructure,16.52,16.24,28202921,465.91M,1.96,14.17,14.19,N/A,38.2,8.58,3.61B,107.27,-109.72,13.9%,N/A,31.0%,-354.9%,N/A,N/A,2,0,0,20.0,21.0,22.0,27.1%,"Infleqtion, Inc. engages in the development and commercialization of quantum technology products in the United States, Europe, and Asia. It delivers neutral atom solutions for quantum computing, networking, sensing, and security. The company offers quantum sensing, quantum computing and software; quantum clocks and qua",15,Speculative / news-only
MAAS,Maase Inc.,Financial Services,Asset Management,23.42,31.2,365788,8.57M,1.69,17.1,11.1,6.31,87.7,8.4,10.36B,2973.23,N/A,N/A,N/A,35.3%,-57.4%,0.1%,N/A,0,0,0,N/A,N/A,N/A,N/A,"Maase Inc. operates as an integrated provider and operator of an artificial intelligence (AI) -centric full-scene digital systems. The company focuses on areas of flexible energy deployment and intelligent commercial network operation, and provide closed-loop solutions from computing infrastructure, smart hardware an",0,Speculative / news-only
QNT,Quantinuum Inc.,Technology,Software - Application,77.83,14.0,3398901,264.54M,0.52,62.97,N/A,N/A,N/A,N/A,2.44B,142.89,N/A,-72.6%,N/A,74.4%,-1473.2%,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,"Quantinuum Inc. manufactures and develops quantum computing hardware and software in United States and Internationally. The company develops a quantum computing platform that offers solutions, such as hardware platforms, developer tools, application libraries, and solution-targeted intellectual property. Its integrated",0,Speculative / news-only
