Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
KRMN,Karman Holdings Inc.,Industrials,Aerospace & Defense,50.47,10.12,1598745,80.69M,0.55,49.54,54.94,76.23,60.0,6.18,6.69B,12.8,54.51,51.0%,N/A,41.0%,15.5%,9.8%,1.6 - Buy,10,0,1,37.0,103.5,135.0,105.1%,"Karman Holdings Inc., through its subsidiary, engages in designing, testing, manufacturing, and sale of mission-critical systems in the United States. The company offers payload protection and deployment systems, aerodynamic interstage systems, and propulsion systems. It serves its products to hypersonics and strategic",80,Watchlist candidate
LCID,"Lucid Group, Inc.",Consumer Cyclical,Auto Manufacturers,5.49,18.72,24383296,133.74M,1.24,5.68,5.79,10.93,52.9,13.79,2.14B,1.53,-1.15,20.2%,N/A,-95.6%,-336.9%,39.3%,3.2 - Hold,1,8,3,5.0,8.3,17.0,51.3%,"Lucid Group, Inc., a technology company, designs, develops, manufactures, and sells electric vehicles (EV), EV powertrains, and battery systems. The company provides Lucid Air sedan and Lucid Gravity SUV. It also designs and develops proprietary software in-house for Lucid vehicles. The company sells vehicles directly ",50,Needs confirmation
MANE,"Veradermics, Incorporated",Healthcare,Biotechnology,126.2,14.55,507563,64.05M,0.77,118.52,106.84,N/A,56.2,6.84,5.27B,N/A,-41.54,N/A,N/A,0.0%,0.0%,14.0%,1.2 - Strong Buy,6,0,0,120.0,141.6,182.0,12.2%,"Veradermics, Incorporated, a clinical-stage biopharmaceutical company, focused on developing novel therapeutics for dermatologic and aesthetic conditions. The company develops treatments for Pattern Hair Loss affecting adults and children. The company's products include VDPHL01, an oral, non-hormonal treatment for men ",45,Needs confirmation
PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,55.46,17.08,51381149,2.85B,3.36,47.17,44.38,52.95,83.9,2.5,48.92B,1.45,9.64,7.2%,-6.2%,40.9%,18.0%,6.9%,2.9 - Hold,8,31,5,32.0,51.38,147.39,-7.4%,"PayPal Holdings, Inc. operates a technology platform that enables digital payments for merchants and consumers worldwide. The company operates a two-sided network at scale that connects merchants and consumers that enables its customers to connect, transact, and send and receive payments through online and in person, a",35,Speculative / news-only
AEHR,"Aehr Test Systems, Inc.",Technology,Semiconductor Equipment & Materials,92.38,28.29,7712432,712.47M,3.07,73.29,94.95,49.79,44.9,9.78,2.91B,64.21,93.31,-43.7%,N/A,30.7%,-41.0%,14.0%,N/A,3,1,0,56.0,71.33,90.0,-22.8%,"Aehr Test Systems, Inc. provides test solutions for testing, burning-in, and semiconductor devices in wafer level, singulated die, package part form, and installed systems in the United States, Asia, and Europe. Its product portfolio includes FOX-XP and FOX-NP systems that are full wafer contact and singulated die/modu",20,Speculative / news-only
CHRN,ChronoScale Holdings Corporation,Technology,Information Technology Services,25.45,10.6,182911,4.66M,0.56,20.4,18.52,10.47,58.1,10.59,3.70B,43.8,N/A,N/A,N/A,-8.5%,-39.4%,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,"ChronoScale Holdings Corporation designs and develops a compute platform to support artificial intelligence (AI) workloads. The company focuses on large-scale deployments and provides dedicated compute environments engineered for performance, consistency, and long-term operational execution. The company was formerly kn",15,Speculative / news-only
