Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
ATAI,AtaiBeckley Inc.,Healthcare,Biotechnology,7.14,33.3,104085268,743.69M,13.45,5.5,4.5,4.31,73.9,6.3,2.63B,754.17,-15.85,-38.7%,N/A,0.0%,-3239.1%,9.7%,1.1 - Strong Buy,14,0,0,7.0,14.17,25.0,98.3%,"AtaiBeckley Inc., a clinical-stage biopharmaceutical company, engages in the research, development, and commercialization of mental health treatments in the United States, Germany, and Canada. The company develops BPL-003, an intranasal formulation of the benzoate salt form of mebufotenin that is in Phase 2a and 2b cli",65,Needs confirmation
ABT,Abbott Laboratories,Healthcare,Medical Devices,99.92,11.94,13387355,1.34B,1.02,93.7,89.41,110.0,62.3,2.59,174.04B,3.86,16.51,7.8%,-19.7%,56.5%,13.5%,1.5%,1.7 - Buy,20,7,0,92.0,116.54,135.0,16.6%,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The company offers generic pharmaceuticals for the treatmen",60,Needs confirmation
GHRS,GH Research PLC,Healthcare,Biotechnology,30.0,11.44,772446,23.17M,2.92,27.06,23.55,17.14,66.3,5.55,2.06B,N/A,-15.01,N/A,N/A,0.0%,0.0%,7.2%,N/A,9,0,0,32.0,39.5,65.0,31.7%,"GH Research PLC, together with its subsidiary, operates a clinical-stage biopharmaceutical company that develops treatments for depression in the United States. The company's lead product candidate is GH001, an inhalable mebufotenin product candidate that is in Phase 2b clinical trial for treating patients with treatme",50,Needs confirmation
LCID,"Lucid Group, Inc.",Consumer Cyclical,Auto Manufacturers,6.55,10.17,18364305,120.38M,0.92,5.73,5.8,10.85,60.6,13.29,2.56B,1.83,-1.38,20.2%,N/A,-95.6%,-336.9%,39.3%,3.2 - Hold,1,8,3,5.0,8.3,17.0,26.6%,"Lucid Group, Inc., a technology company, designs, develops, manufactures, and sells electric vehicles (EV), EV powertrains, and battery systems. The company provides Lucid Air sedan and Lucid Gravity SUV. It also designs and develops proprietary software in-house for Lucid vehicles. The company sells vehicles directly ",50,Needs confirmation
SMG,The Scotts Miracle-Gro Company,Basic Materials,Agricultural Inputs,74.89,10.15,427306,32.00M,0.45,66.71,62.38,61.13,63.6,3.51,4.36B,1.26,15.92,5.0%,8.5%,32.5%,27.7%,12.7%,1.9 - Buy,5,3,0,63.0,73.0,80.0,-2.5%,"The Scotts Miracle-Gro Company, together with its subsidiaries, engages in the manufacture, marketing, and sale of products for lawn, garden care, and indoor and hydroponic gardening in the United States and internationally. The company provides lawn care products, comprising lawn fertilizers, clover and grass seed pro",45,Needs confirmation
MAN,ManpowerGroup Inc.,Industrials,Staffing & Employment Services,51.91,33.05,2064306,107.17M,1.89,40.51,33.0,31.12,79.5,4.54,2.41B,0.13,11.06,10.3%,-58.2%,16.4%,1.0%,19.9%,2.4 - Buy,4,8,0,30.0,37.94,49.0,-26.9%,"ManpowerGroup Inc. provides workforce solutions and services under the Manpower, the Experis, and the Talent Solutions brands in the Americas, Southern Europe, Northern Europe, and the Asia Pacific/the Middle East. The company offers recruitment services, including permanent, temporary, and contract recruitment of prof",15,Speculative / news-only
MAAS,Maase Inc.,Financial Services,Asset Management,21.42,29.27,345670,7.40M,1.5,15.93,13.11,7.24,57.8,14.0,9.47B,1430.51,N/A,N/A,N/A,25.6%,-599.1%,0.1%,N/A,0,0,0,N/A,N/A,N/A,N/A,"Maase Inc. operates as an integrated provider and operator of an artificial intelligence (AI) -centric full-scene digital systems. The company focuses on areas of flexible energy deployment and intelligent commercial network operation, and provide closed-loop solutions from computing infrastructure, smart hardware an",15,Speculative / news-only
RHI,Robert Half Inc.,Industrials,Staffing & Employment Services,40.58,10.57,1141797,46.33M,0.48,35.16,30.27,28.13,76.6,4.16,4.15B,0.78,19.68,-3.8%,-18.6%,37.2%,2.8%,26.5%,3.1 - Hold,3,4,4,20.0,30.78,50.0,-24.2%,"Robert Half Inc. provides talent solutions and business consulting services in the United States and internationally. The company operates through three segments: Contract Talent Solutions, Permanent Placement Talent Solutions, and Protiviti. The Contract Talent Solutions segment provides contract engagement profession",0,Speculative / news-only
