Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
AXTI,"AXT, Inc.",Technology,Semiconductor Equipment & Materials,86.83,10.8,5664745,491.84M,0.48,97.26,91.07,36.17,42.9,18.26,5.68B,59.24,115.46,39.1%,N/A,21.3%,-5.9%,11.7%,1.8 - Buy,3,2,0,73.0,96.5,125.0,11.1%,"AXT, Inc. designs, develops, manufactures, and distributes compound and single element semiconductor substrates. The company provides indium phosphide for use in data center connectivity using light/lasers, high-speed data transfer in data centers, 5G communications, fiber optic lasers and detectors, consumer devices, ",50,Needs confirmation
BULL,Webull Corporation,Technology,Software - Application,6.13,11.53,14067361,86.29M,1.07,5.96,6.37,8.56,38.1,6.9,3.26B,5.38,20.11,36.3%,N/A,76.3%,-1.5%,3.8%,N/A,3,0,0,10.0,12.0,14.0,95.6%,"Webull Corporation operates as a digital investment platform. The company offers various products and services, including trading, wealth management product distribution, market data and information, user community, and investor education. Its platform enables retail investors to trade securities through its licensed b",35,Speculative / news-only
CASY,"Casey's General Stores, Inc.",Consumer Cyclical,Specialty Retail,871.86,14.54,959655,836.68M,1.63,772.77,795.83,639.2,53.5,3.61,32.32B,1.9,38.67,0.3%,49.8%,24.5%,5.0%,4.2%,1.8 - Buy,12,7,0,605.0,839.13,1000.0,-3.8%,"Casey's General Stores, Inc., together with its subsidiaries, operates convenience stores under the Casey's and Casey's General Store names in the United States. Its stores offer pizza, donuts, breakfast items, and sandwiches; and tobacco and nicotine products. The company's stores also provide soft drinks, energy, wat",30,Speculative / news-only
