Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
RUN,Sunrun Inc.,Technology,Solar,16.13,25.92,31752397,512.17M,3.8,13.32,13.54,16.55,56.2,5.62,3.85B,1.21,18.92,43.2%,214.4%,32.1%,-6.0%,30.1%,2.0 - Buy,12,10,0,13.0,19.11,30.0,18.4%,"Sunrun Inc. designs, develops, installs, sells, owns, and maintains residential solar energy systems in the United States. The company sells solar energy systems and products, such as panels and racking; and solar leads generated to customers. It offers battery storage along with solar energy systems; and sells service",85,Watchlist candidate
RKT,"Rocket Companies, Inc.",Financial Services,Mortgage Finance,15.29,13.47,24035911,367.39M,0.93,13.83,14.28,17.17,62.1,5.62,43.25B,4.85,14.34,167.1%,N/A,100.0%,28.2%,8.7%,2.2 - Buy,7,8,0,16.0,19.64,24.0,28.5%,"Rocket Companies, Inc., a fintech company, engages in the mortgage, real estate, and personal finance businesses in the United States and Canada. It operates in two segments, Direct to Consumer and Partner Network. The company offers Rocket Mortgage, a mortgage lender service; Redfin, a digital real estate brokerage an",80,Watchlist candidate
FOUR,"Shift4 Payments, Inc.",Technology,Software - Infrastructure,43.03,11.27,1067929,45.95M,0.61,40.16,42.97,59.06,56.6,6.32,4.27B,0.96,6.36,32.2%,-11.8%,35.1%,5.0%,19.0%,2.1 - Buy,11,12,0,40.0,61.15,120.0,42.1%,"Shift4 Payments, Inc. engages in the provision of software and payment processing solutions in the United States and internationally. The company offers a payments platform, which provides omnichannel card acceptance; and processing solutions across multiple payment types, including credit, debit, contactless card, Eur",65,Needs confirmation
GLW,Corning Incorporated,Technology,Electronic Components,214.88,10.72,9560103,2.05B,0.73,191.7,181.25,122.62,54.5,6.07,184.81B,11.32,51.09,20.0%,138.9%,36.4%,15.7%,2.8%,1.8 - Buy,10,5,1,150.0,201.73,230.0,-6.1%,"Corning Incorporated operates in optical communications, display, specialty materials, automotive, and life sciences businesses in the United States, Canada, Mexico, Japan, Taiwan, China, South Korea, Germany, and internationally. The company provides optical fibers and cables; and hardware and equipment products, such",65,Needs confirmation
DFTX,"Definium Therapeutics, Inc.",Healthcare,Biotechnology,44.09,21.88,8618926,380.05M,3.75,29.82,23.64,16.73,88.4,5.0,4.81B,N/A,-27.72,N/A,N/A,0.0%,0.0%,8.7%,1.3 - Strong Buy,15,0,0,30.0,52.33,70.0,18.7%,"Definium Therapeutics, Inc., a clinical biopharmaceutical company, develops novel product candidates to treat brain health disorders. The company's lead product candidates DT120, which is in phase 3 for the treatment of generalized anxiety disorder, major depressive disorder, and other brain health disorders; and DT402",50,Needs confirmation
ICLR,ICON Public Limited Company,Healthcare,Diagnostics & Research,159.68,11.92,882132,140.86M,0.77,146.22,126.88,149.27,62.2,4.43,12.23B,1.48,13.66,12.4%,N/A,26.4%,10.5%,4.0%,2.1 - Buy,8,8,1,125.0,154.81,180.0,-3.0%,"ICON Public Limited Company, a clinical research organization, provides outsourced development and commercialization services in Ireland, rest of Europe, the United States, and internationally. The company specializes in the strategic development, management, and analysis of programs that support various stages of the ",45,Needs confirmation
BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,85.14,10.95,1346144,114.60M,0.53,78.78,78.62,102.58,65.6,4.96,9.16B,0.62,14.48,-10.1%,N/A,29.9%,0.5%,9.8%,2.2 - Buy,11,10,1,76.0,97.38,133.0,14.4%,"Builders FirstSource, Inc., together with its subsidiaries, provides building materials for professional builders in new residential construction and repair, and remodeling in the United States. It offers manufactured products, such as factory-built substitutes for job-site framing, wood floor and roof trusses, wall pa",45,Needs confirmation
CCS,"Century Communities, Inc.",Real Estate,Real Estate - Development,70.29,11.96,160179,11.26M,0.51,62.56,56.7,61.2,82.6,3.67,2.02B,0.51,17.14,-12.6%,-33.6%,17.9%,4.3%,8.8%,2.5 - Buy,1,1,0,64.0,78.0,92.0,11.0%,"Century Communities, Inc., together with its subsidiaries, engages in the design, development, construction, marketing, and sale of single-family attached and detached homes. It is also involved in the entitlement and development of the underlying land; and provision of mortgage, title, and insurance services to its ho",30,Speculative / news-only
KBH,KB Home,Consumer Cyclical,Residential Construction,61.77,17.14,2083113,128.67M,1.7,54.34,51.35,57.99,73.2,3.47,3.86B,0.65,14.1,-22.6%,-65.0%,18.6%,3.0%,17.5%,3.1 - Hold,3,8,3,43.0,55.18,77.0,-10.7%,"KB Home operates as a homebuilding company in the United States. It builds and sells homes, including attached and detached single-family residential homes, townhomes, and condominiums primarily for first-time, first move-up, second move-up, and active adult homebuyers. The company also provides financial services, suc",15,Speculative / news-only
RH,RH,Consumer Cyclical,Specialty Retail,156.01,10.07,470562,73.41M,0.4,147.04,138.86,168.55,52.2,6.79,2.95B,0.86,17.03,-1.7%,N/A,43.5%,0.3%,60.5%,2.7 - Hold,7,10,3,86.0,164.82,270.0,5.6%,"RH, together with its subsidiaries, operates as a retailer and lifestyle brand in the home furnishings market in the United States, Canada, the United Kingdom, Germany, Belgium, and Spain. The company operates in three segments: RH Segment, Waterworks, and Real Estate. It offers merchandise in various categories, inclu",15,Speculative / news-only
