Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
ARM,Arm Holdings plc,Technology,Semiconductors,346.35,14.42,9681536,3.35B,1.06,283.77,194.16,149.84,80.3,5.96,368.69B,74.94,113.41,20.1%,47.9%,97.5%,29.5%,13.3%,1.9 - Buy,28,10,2,125.0,232.14,326.0,-33.0%,"Arm Holdings plc architects, developers, licensing, marketing, research and development of central processing unit (CPU) intellectual property (IP), graphics processing unit IP, systems IP, compute subsystems (CSS), and associated software, tools and other related services in the United States, People's Republic of Chi",50,Needs confirmation
FSLR,"First Solar, Inc.",Technology,Solar,305.0,11.45,3424047,1.04B,1.57,256.03,210.7,227.04,84.6,4.52,32.74B,6.04,13.0,23.6%,65.1%,41.7%,33.1%,10.5%,2.1 - Buy,21,12,1,150.0,243.59,310.0,-20.1%,"First Solar, Inc., a solar technology company, provides photovoltaic (PV) solar energy solutions in the United States, France, India, Chile, and internationally. The company manufactures and sells PV solar modules with thin film semiconductor technology that provides conventional crystalline silicon PV solar modules. I",50,Needs confirmation
ICLR,ICON Public Limited Company,Healthcare,Diagnostics & Research,137.84,16.37,2173878,299.65M,1.95,118.24,112.18,151.98,63.5,4.95,10.72B,1.32,11.51,0.6%,-98.7%,28.2%,12.7%,4.3%,2.1 - Buy,8,7,1,105.0,133.6,180.0,-3.1%,"ICON Public Limited Company, a clinical research organization, provides outsourced development and commercialization services in Ireland, rest of Europe, the United States, and internationally. The company specializes in the strategic development, management, and analysis of programs that support various stages of the ",45,Needs confirmation
TMC,TMC the metals company Inc.,Basic Materials,Other Industrial Metals & Mining,6.44,12.79,7359068,47.39M,1.3,5.46,5.15,6.22,63.9,5.9,3.60B,N/A,-35.81,N/A,N/A,0.0%,0.0%,11.3%,1.2 - Strong Buy,5,0,0,9.0,11.0,12.25,70.8%,"TMC the metals company Inc., a deep-sea minerals exploration company, focuses on the collection, processing, and refining of polymetallic nodules found on the seafloor in California. It primarily explores for nickel, cobalt, copper, and manganese products. The company holds exploration and commercial rights in two poly",45,Needs confirmation
ARXS,"Arxis, Inc.",Industrials,Aerospace & Defense,44.43,11.77,1640200,72.87M,0.89,36.98,N/A,N/A,73.7,5.4,18.23B,11.46,59.01,N/A,N/A,48.6%,18.7%,2.6%,1.3 - Strong Buy,10,1,0,39.0,44.5,55.0,0.2%,"Arxis, Inc. designs and manufactures electronic and mechanical components for mission critical applications in the United States. The company operates through two segments: Electronic Components and Mechanical Components. Its Electronic Components segment provides engineered electronic components and interconnect solut",45,Needs confirmation
BETA,"BETA Technologies, Inc.",Industrials,Aerospace & Defense,18.75,11.4,1104201,20.70M,0.63,16.19,16.24,N/A,54.0,6.75,4.49B,124.1,-8.93,5.6%,N/A,65.5%,-1312.1%,4.0%,1.3 - Strong Buy,8,0,0,25.0,31.5,37.0,68.0%,"BETA Technologies, Inc., an electric aerospace company, designs, manufactures, and sells electric aircraft, electric propulsion systems, components, and charging systems worldwide. It builds and flown ALIA aircraft consisting of conventional fixed-wing electric aircraft and electric vertical takeoff and landing aircraf",45,Needs confirmation
CHRN,ChronoScale Corporation,Technology,Information Technology Services,19.39,31.01,965654,18.72M,6.37,16.02,12.25,7.85,66.5,11.68,2.81B,33.27,N/A,N/A,N/A,-8.5%,-39.4%,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,"ChronoScale Corporation designs and develops a compute platform to support artificial intelligence (AI) workloads. The company focuses on large-scale deployments and provides dedicated compute environments engineered for performance, consistency, and long-term operational execution. The company is based in Dallas, Texa",35,Speculative / news-only
SMCI,"Super Micro Computer, Inc.",Technology,Computer Hardware,42.27,10.7,51061035,2.16B,1.32,35.18,28.37,35.99,71.3,5.81,25.43B,0.75,13.13,122.7%,326.0%,8.4%,6.1%,18.0%,2.8 - Hold,5,10,3,15.0,37.12,58.0,-12.2%,"Super Micro Computer, Inc., together with its subsidiaries, develops and sells server and storage solutions based on modular and open-standard architecture in the United States, Asia, Europe, and internationally. The company provides liquid and air-cooled AI servers for training and inferencing with integrated graphics",35,Speculative / news-only
UHAL,U-Haul Holding Company,Industrials,Rental & Leasing Services,57.47,10.43,323599,18.60M,1.42,51.54,49.98,52.98,68.1,2.85,10.99B,1.83,12.86,1.9%,N/A,28.6%,2.5%,22.4%,N/A,0,1,0,60.9,75.45,90.0,31.3%,"U-Haul Holding Company operates as a do-it-yourself moving and storage operator for household and commercial goods in the United States and Canada. It operates through three segments: Moving and Storage, Property and Casualty Insurance, and Life Insurance. It rents trucks, trailers, fixed and portable moving and storag",30,Speculative / news-only
HEI,HEICO Corporation,Industrials,Aerospace & Defense,341.37,10.33,791970,270.35M,1.15,306.21,284.64,312.03,81.9,2.58,47.68B,10.29,53.59,14.4%,12.5%,39.6%,22.2%,1.1%,1.9 - Buy,15,7,1,282.0,353.15,418.0,3.5%,"HEICO Corporation provides aerospace, defense, and electronic related products and services in the United States and internationally. Its Flight Support Group segment offers jet engine and aircraft component replacement parts; thermal insulation blankets and parts; renewable/reusable insulation systems; and specialty c",30,Speculative / news-only
BRAI,Braiin Limited,Technology,Computer Hardware,14.22,31.79,701710,9.98M,3.19,9.15,7.6,N/A,78.5,10.41,2.93B,N/A,N/A,N/A,N/A,0.0%,0.0%,0.2%,N/A,0,0,0,N/A,N/A,N/A,N/A,"Braiin Limited operates as an agriculture and analytics services company that provides solutions to improve farming productivity using IoTs, Wireless Connectivity, Robotics, Software, and AI/ML. The company was incorporated in 2022 and is based in Subiaco, Australia. As of March 20, 2023, Braiin Limited operates as a s",20,Speculative / news-only
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,23.75,13.31,5789758,137.51M,1.23,21.18,21.37,23.57,75.2,2.55,13.07B,1.08,15.26,-2.9%,-5.1%,15.6%,11.1%,8.5%,2.6 - Hold,3,7,0,22.0,25.12,30.0,5.8%,"Hormel Foods Corporation develops, processes, and distributes various meat, nuts, and other food products to foodservice, convenience store, and commercial customers in the United States and internationally. It operates through three segments: Retail, Foodservice, and International segments. The company provides variou",15,Speculative / news-only
HEI-A,HEICO Corporation,Industrials,Aerospace & Defense,256.08,11.44,263950,67.59M,0.79,227.84,216.59,241.27,80.8,2.23,35.73B,7.71,59.41,14.4%,12.5%,39.6%,22.2%,0.8%,N/A,0,1,0,280.0,280.0,280.0,9.3%,"HEICO Corporation provides aerospace, defense, and electronic related products and services in the United States and internationally. Its Flight Support Group segment offers jet engine and aircraft component replacement parts; thermal insulation blankets and parts; renewable/reusable insulation systems; and specialty c",15,Speculative / news-only
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,76.95,19.24,7770093,597.95M,1.79,63.21,61.85,69.75,84.1,2.94,16.21B,0.39,11.0,-1.0%,372.5%,22.5%,5.0%,10.2%,2.6 - Hold,7,15,2,59.0,71.74,90.0,-6.8%,"Best Buy Co., Inc. offers technology products and solutions in the United States, Canada, and internationally. The company provides computing and mobile phone products, such as desktops, notebooks, and peripherals; mobile phones comprising related mobile network carrier commissions; networking products; tablets coverin",0,Speculative / news-only
