Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
BHC,Bausch Health Companies Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,5.96,27.39,9183045,54.73M,4.11,4.7,4.98,5.84,74.0,3.7,2.23B,0.21,1.57,11.7%,N/A,71.0%,20.6%,2.5%,3.0 - Hold,0,7,0,5.5,7.3,9.0,22.5%,"Bausch Health Companies Inc. operates as a diversified specialty pharmaceutical and medical device company. It operates through five segments: Salix, International, Solta Medical, Diversified, and Bausch + Lomb. The company develops, manufactures, and markets products primarily in the therapeutic areas of gastroenterol",65,Needs confirmation
FORM,"FormFactor, Inc.",Technology,Semiconductor Equipment & Materials,105.7,26.66,908818,96.06M,0.49,102.51,123.9,93.55,43.1,7.27,8.24B,9.81,32.55,32.0%,225.0%,42.2%,17.7%,5.1%,2.0 - Buy,5,5,0,64.0,144.67,175.0,36.9%,"FormFactor, Inc. designs, manufactures, and sells probe cards, analytical probes, probe stations, thermal systems, cryogenic systems, and related services in the United States, South Korea, Taiwan, China, Japan, Singapore, Europe, Malaysia, and internationally. The company operates in two segments: Probe Cards and Syst",65,Needs confirmation
BE,Bloom Energy Corporation,Industrials,Electrical Equipment & Parts,205.32,25.39,19626166,4.03B,1.48,196.34,261.79,178.23,41.2,11.28,60.47B,19.42,41.98,165.5%,N/A,31.7%,17.1%,7.7%,2.3 - Buy,14,13,2,70.0,286.2,390.0,39.4%,"Bloom Energy Corporation designs, manufactures, sells, and installs solid oxide fuel cell systems for on-site power generation in the United States and internationally. It offers Bloom Energy Server, an energy server platform to convert fuel, such as natural gas, biogas, hydrogen, or a blend of these fuels, into electr",65,Needs confirmation
SNDK,Sandisk Corporation,Technology,Computer Hardware,1234.62,21.53,13690582,16.90B,1.0,1357.49,1711.67,837.46,31.0,12.09,182.76B,13.86,5.8,251.0%,N/A,56.0%,70.0%,8.3%,1.6 - Buy,18,4,1,1000.0,2217.77,3169.0,79.6%,"Sandisk Corporation develops, manufactures, and sells data storage devices and solutions using NAND flash technology in the United States, Europe, the Middle East, Africa, Asia, and internationally. The company offers solid state drives for desktop and notebook PCs, gaming consoles, and set top boxes; and flash-based e",65,Needs confirmation
CORZ,"Core Scientific, Inc.",Technology,Software - Infrastructure,21.8,20.31,13148621,286.64M,0.96,21.97,25.06,19.7,45.0,7.85,7.01B,15.91,117.84,108.8%,N/A,32.1%,6.9%,22.6%,1.4 - Strong Buy,15,2,0,25.0,34.17,55.0,56.8%,"Core Scientific, Inc. provides infrastructure for high-density colocation services and digital asset mining in the United States. It operates through three segments: Colocation, Digital Asset Self-Mining, and Digital Asset Hosted Mining. The company offers space, power, cooling, facilities operations, security, and oth",65,Needs confirmation
HUT,Hut 8 Corp.,Financial Services,Capital Markets,105.61,19.78,2717911,287.02M,0.58,105.73,111.12,69.73,51.7,9.35,11.89B,41.82,-42.07,225.5%,N/A,59.7%,-521.5%,11.6%,1.4 - Strong Buy,17,0,0,80.0,156.82,263.0,48.5%,"Hut 8 Corp., together with its subsidiaries, operates as an energy infrastructure platform that integrates power, digital infrastructure, and compute at scale to fuel energy-intensive use cases in the United States and Canada. It operates through Power, Digital Infrastructure, Compute, and Other segments. The company o",65,Needs confirmation
SIMO,Silicon Motion Technology Corporation,Technology,Semiconductors,250.69,19.56,1107857,277.73M,1.1,255.76,286.75,164.03,34.8,9.54,8.50B,8.01,24.54,105.5%,238.7%,48.1%,15.3%,2.4%,1.5 - Strong Buy,10,1,0,145.0,298.2,450.0,18.9%,"Silicon Motion Technology Corporation, together with its subsidiaries, designs, develops, and markets NAND flash controllers for solid-state storage devices and related devices in China, Japan, Singapore, Taiwan, Korea, the United States, and internationally. It offers controllers for computing-grade solid state drives",65,Needs confirmation
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,300.41,19.04,8956369,2.69B,0.78,297.53,337.58,240.31,38.1,6.65,375.68B,17.33,26.67,23.8%,40.8%,50.0%,35.0%,2.6%,1.5 - Strong Buy,29,5,1,220.0,374.58,500.0,24.7%,"Lam Research Corporation designs, manufactures, markets, refurbishes, and services semiconductor processing equipment used in the fabrication of integrated circuits in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. The company offers ALTUS systems to deposit conformal or selective films for",65,Needs confirmation
SEI,"Solaris Energy Infrastructure, Inc.",Energy,Oil & Gas Equipment & Services,51.04,17.55,2705288,138.08M,0.98,54.62,69.38,58.83,29.6,9.37,4.90B,7.09,21.87,55.3%,127.2%,46.9%,25.8%,26.0%,1.5 - Strong Buy,13,1,0,80.0,94.34,120.0,84.8%,"Solaris Energy Infrastructure, Inc. provides modular and scalable equipment-based solutions for power generation, control and distribution, and management of raw materials used in the completion of oil and natural gas wells in the United States. It operates in Solaris Power Solutions and Solaris Logistics Solutions seg",65,Needs confirmation
MKTX,MarketAxess Holdings Inc.,Financial Services,Capital Markets,163.1,29.73,4524358,737.95M,6.72,123.13,120.84,157.8,91.6,1.88,5.80B,6.65,18.59,11.9%,450.0%,62.1%,43.9%,7.7%,2.5 - Buy,4,9,0,124.0,150.4,250.0,-7.8%,"MarketAxess Holdings Inc., together with its subsidiaries, operates an electronic trading platform for institutional investor and broker-dealer firms in the United States, the United Kingdom, and internationally. The company offers trading technology to access liquidity on its platforms in U.S. high-grade bonds, U.S. h",50,Needs confirmation
