Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
GLXY,Galaxy Digital,Financial Services,Capital Markets,30.89,22.85,12212216,377.17M,2.29,29.06,26.2,27.42,58.4,7.48,12.04B,0.21,330.07,-20.6%,N/A,100.0%,95.9%,14.1%,1.6 - Buy,14,2,0,28.0,41.69,57.0,35.0%,"Galaxy Digital Inc. engages in the digital asset and data centre infrastructure businesses in North America and internationally. It operates through Digital Assets, Data Centers, and Treasury and Corporate segments. The Digital Assets segment provides over-the-counter spot and derivatives trading, lending, and structur",80,Watchlist candidate
ADEA,Adeia Inc.,Technology,Software - Application,32.1,10.77,1567402,50.31M,0.92,29.83,28.58,19.93,64.1,6.16,3.54B,7.69,20.73,19.5%,100.0%,100.0%,38.9%,11.1%,N/A,4,0,0,30.0,37.0,43.0,15.3%,"Adeia Inc., together with its subsidiaries, operates as a media and semiconductor intellectual property licensing platform company in the United States, Asia, Canada, Europe, the Middle East, and internationally. The company licenses its patent portfolios across various markets, including multichannel video programming",65,Needs confirmation
MU,"Micron Technology, Inc.",Technology,Semiconductors,954.79,10.51,35235718,33.64B,0.73,986.08,629.35,365.04,68.6,5.84,1076.88B,18.53,9.01,196.3%,756.0%,58.4%,67.6%,3.1%,1.5 - Strong Buy,39,4,1,249.0,739.48,1750.0,-22.6%,"Micron Technology, Inc. designs, develops, manufactures, and sells memory and storage products in the United States, Taiwan, Japan, Mainland China, Hong Kong, Europe, and internationally. It operates through the Cloud Memory Business Unit; Core Data Center Business Unit; Mobile and Client Business Unit; and Automotive ",65,Needs confirmation
TNGX,"Tango Therapeutics, Inc.",Healthcare,Biotechnology,29.58,46.27,13984519,413.66M,4.15,22.5,22.66,13.38,71.6,5.84,4.28B,75.08,-18.6,N/A,N/A,-126.8%,-206.2%,22.3%,1.5 - Strong Buy,9,3,0,21.0,31.9,55.0,7.8%,"Tango Therapeutics, Inc., a precision oncology company, focuses on the discovery and development of drugs in defined patient populations with unmet medical need. The company develops methylthioadenosine -cooperative protein arginine methyltransferase 5 (PRMT5) inhibitors, including TNG462, which is in Phase 1/2 clinica",50,Needs confirmation
MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,299.55,13.69,54155191,16.22B,1.76,262.64,169.38,104.63,75.5,7.39,262.27B,30.09,48.53,27.6%,-80.4%,51.5%,14.5%,4.3%,1.4 - Strong Buy,38,6,0,110.0,233.14,321.0,-22.2%,"Marvell Technology, Inc., together with its subsidiaries, provides data infrastructure semiconductor solutions and spanning the data center core to network edge in the United States, Argentina, China, India, Israel, Japan, Singapore, South Korea, Taiwan, Vietnam, and internationally. The company develops and scales sys",50,Needs confirmation
AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment,199.31,12.6,9424018,1.88B,0.77,184.84,158.78,71.02,57.2,11.62,15.99B,31.54,41.77,51.4%,N/A,29.6%,-8.6%,12.1%,2.3 - Buy,3,3,0,57.5,151.3,220.0,-24.1%,"Applied Optoelectronics, Inc. engages in the design, manufacture, and sale of fiber-optic networking products in the United States, Taiwan, and China. The company offers optical modules, optical filters, lasers, laser components, subassemblies, transmitters and transceivers, turn-key equipment, headend, node, and distr",50,Needs confirmation
IONQ,"IonQ, Inc.",Technology,Computer Hardware,63.55,11.91,17932297,1.14B,0.61,67.14,47.83,48.63,64.0,9.16,23.72B,126.76,-60.96,754.7%,N/A,36.1%,-401.8%,19.7%,1.4 - Strong Buy,11,2,0,44.78,67.64,100.0,6.4%,"IonQ, Inc. develops quantum computing systems in the United States, Switzerland, and Internationally. It sells access to quantum computers of various qubit capacities. The company also makes access to its quantum computers through cloud platforms, such as Amazon Web Services (AWS), Braket, Microsoft's Azure Quantum, an",50,Needs confirmation
QBTS,D-Wave Quantum Inc.,Technology,Computer Hardware,26.41,10.71,19552440,516.28M,0.6,28.02,20.9,23.52,63.5,10.87,9.78B,786.2,-68.66,-80.9%,N/A,66.3%,-1914.9%,15.5%,1.3 - Strong Buy,13,2,0,19.58,36.44,45.0,38.0%,"D-Wave Quantum Inc. engages in the development and delivery of quantum computing systems, software, and services worldwide. It provides Advantage and Advantage 2 quantum computers; Ocean, a suite of open-source tools; and Leap quantum cloud service, a cloud-based service that provides real-time access to quantum comput",45,Needs confirmation
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,2130.88,10.45,531844,1.13B,0.54,2018.86,1796.59,1383.48,68.9,4.23,278.35B,21.25,42.74,11.5%,11.8%,61.4%,41.2%,28.9%,1.9 - Buy,19,10,1,1500.0,1855.14,2100.0,-12.9%,"KLA Corporation, together with its subsidiaries, designs, manufactures, and markets process control, process-enabling, and yield management solutions for the semiconductor and related electronics industries worldwide. The company operates through three segments: Semiconductor Process Control; Specialty Semiconductor Pr",45,Needs confirmation
MARA,"MARA Holdings, Inc.",Financial Services,Capital Markets,13.55,10.02,16530858,224.08M,0.37,13.91,11.77,12.62,59.9,6.93,5.17B,5.96,-15.67,-18.4%,N/A,45.3%,-558.1%,29.9%,2.2 - Buy,7,5,1,7.0,17.57,30.0,29.6%,"MARA Holdings, Inc. operates as an energy and digital infrastructure company in North America, the Middle East, Europe, and Latin America. The company leverages Bitcoin Mining and Artificial Intelligence compute to monetize excess energy and underutilized power, optimize power management across operations and support A",45,Needs confirmation
