Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
MCHP,Microchip Technology Incorporated,Technology,Semiconductors,83.5,12.29,4486503,374.65M,0.37,76.54,87.25,75.77,53.4,4.24,45.38B,9.63,18.91,35.1%,N/A,57.7%,17.1%,8.7%,1.6 - Buy,19,6,0,80.0,111.71,135.0,33.8%,"Microchip Technology Incorporated develops, manufactures, and sells smart, connected, and secure embedded control solutions in the Americas, Europe, and Asia. It operates in two segments, Semiconductor Products and Technology Licensing. The company offers general-purpose 8-bit, 16-bit, 32-bit, and 64-bit mixed-signal m",80,Watchlist candidate
HNGE,"Hinge Health, Inc.",Healthcare,Health Information Services,89.62,11.91,699041,62.65M,0.37,78.92,75.41,52.54,52.7,5.56,6.93B,9.62,27.78,53.0%,N/A,84.5%,19.2%,11.6%,1.6 - Buy,15,1,0,65.0,101.67,140.0,13.4%,"Hinge Health, Inc. focuses on building a health system that scales and automates the delivery of care using technology. It designs its platform to address musculoskeletal system care (MSK), including acute injury, chronic pain, and post-surgical rehabilitation. The company also provides personalized and automated MSK c",80,Watchlist candidate
AXTI,"AXT, Inc.",Technology,Semiconductor Equipment & Materials,84.64,12.63,7573538,641.06M,0.78,63.31,72.33,48.44,71.5,10.3,5.53B,44.02,37.94,164.8%,N/A,32.2%,21.9%,17.6%,1.6 - Buy,4,1,0,55.0,91.6,125.0,8.2%,"AXT, Inc. designs, develops, manufactures, and distributes compound and single element semiconductor substrates. The company provides indium phosphide for use in data center connectivity using light/lasers, high-speed data transfer in data centers, 5G communications, fiber optic lasers and detectors, consumer devices, ",65,Needs confirmation
COHR,Coherent Corp.,Technology,Scientific & Technical Instruments,374.1,11.93,4571039,1.71B,0.81,297.69,342.86,260.32,65.7,7.04,73.01B,11.06,44.58,20.5%,1118.3%,37.0%,13.6%,5.2%,1.7 - Buy,16,5,0,230.0,394.62,465.0,5.5%,"Coherent Corp. develops, manufactures, and markets engineered materials, optoelectronic components and devices, and laser systems for the use in the industrial, communications, electronics, and instrumentation markets worldwide. It operates through three segments: Networking, Materials, and Lasers. The Networking segme",65,Needs confirmation
ONTO,Onto Innovation Inc.,Technology,Semiconductor Equipment & Materials,306.15,13.94,877197,268.55M,0.67,266.79,294.5,224.82,56.1,6.24,15.23B,14.78,30.78,9.5%,-48.5%,54.2%,16.8%,6.8%,1.2 - Strong Buy,10,0,0,330.0,375.8,450.0,22.8%,"Onto Innovation Inc. engages in the design, development, manufacture, and support of process control tools that perform macro-defect inspection and metrology in the United States, Taiwan, South Korea, Japan, China, Southeast Asia, Asia, and Europe. The company offers lithography systems and process control analytical s",60,Needs confirmation
CVSA,Covista Inc.,Consumer Defensive,Education & Training Services,139.03,11.89,166525,23.15M,0.49,129.31,124.45,113.15,69.6,4.58,4.73B,2.48,13.96,4.5%,-24.6%,57.3%,18.9%,7.1%,1.3 - Strong Buy,4,0,0,140.0,156.25,175.0,12.4%,"Covista Inc., together with its subsidiaries, provides healthcare education in the United States, Barbados, St. Kitts, and St. Maarten. It operates in three segments: Chamberlain, Walden, and Medical and Veterinary. The company offers degree and non-degree programs, including bachelor's, master's, and doctoral degrees;",60,Needs confirmation
DOCS,"Doximity, Inc.",Healthcare,Health Information Services,31.61,53.0,31667536,1.00B,7.62,22.65,21.37,32.4,80.1,4.65,5.68B,8.81,20.0,5.1%,-69.0%,89.1%,21.6%,16.1%,2.4 - Buy,9,11,1,18.0,24.89,47.0,-21.3%,"Doximity, Inc. operates a digital platform for medical professionals in the United States. Its Doximity platform includes a personalized newsfeed that presents clinical and professional content to members, which offers medical articles, clinical trials or research results in an easy-to-consume video format, professiona",50,Needs confirmation
FIGS,"FIGS, Inc.",Consumer Cyclical,Apparel Manufacturing,15.34,36.43,5093920,78.12M,1.56,11.37,10.98,11.88,84.6,3.91,2.56B,3.85,45.15,28.0%,N/A,66.6%,2.8%,21.4%,2.0 - Buy,5,4,0,15.0,18.25,22.0,19.0%,"FIGS, Inc., together with its subsidiary, FIGS Canada, Inc., operates as a direct-to-consumer healthcare apparel and lifestyle company in the United States and internationally. The company designs and sells scrubwear and non-scrubwear offerings, such as outerwear, underscrubs, footwear, compression socks, lab coats, lo",50,Needs confirmation
TWLO,Twilio Inc.,Technology,Software - Infrastructure,244.61,26.61,1958920,479.17M,0.85,199.78,203.35,152.04,69.0,3.89,37.13B,7.0,36.69,20.0%,375.0%,48.7%,7.7%,3.6%,1.6 - Buy,26,4,2,120.0,215.11,300.0,-12.1%,"Twilio Inc., together with its subsidiaries, provides customer engagement platform solutions in the United States and internationally. The company provides various application programming interfaces and software solutions for communications between customers and end users, including messaging, voice, email, video inter",50,Needs confirmation
NTRA,"Natera, Inc.",Healthcare,Diagnostics & Research,314.76,18.61,1072766,337.66M,0.72,273.95,252.41,223.05,74.5,3.57,45.08B,18.03,-898.12,38.8%,N/A,65.1%,-12.4%,3.6%,1.5 - Strong Buy,19,3,0,193.0,292.38,375.0,-7.1%,"Natera, Inc., a diagnostics company, engages in the development and commercialization of molecular testing services worldwide. It offers Signatera, a personalized ctDNA blood test for MRD assessment, early recurrence monitoring, and evaluation of treatment response in patients previously diagnosed with cancer; Latitude",50,Needs confirmation
