Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
AXTI,"AXT, Inc.",Technology,Semiconductor Equipment & Materials,79.33,13.28,9160285,726.69M,0.89,65.71,63.45,57.44,67.2,6.6,5.20B,41.4,35.22,164.8%,N/A,32.2%,21.9%,14.6%,1.6 - Buy,4,1,0,55.0,91.6,125.0,15.5%,"AXT, Inc. designs, develops, manufactures, and distributes compound and single element semiconductor substrates. The company provides indium phosphide for use in data center connectivity using light/lasers, high-speed data transfer in data centers, 5G communications, fiber optic lasers and detectors, consumer devices, ",80,Watchlist candidate
DOCN,"DigitalOcean Holdings, Inc.",Technology,Software - Infrastructure,147.16,13.08,2553372,375.75M,0.77,128.26,122.39,101.31,71.9,6.42,17.30B,17.11,79.91,28.6%,-24.5%,57.2%,10.4%,8.8%,1.5 - Buy,14,3,0,140.0,175.2,200.0,19.1%,"DigitalOcean Holdings, Inc., through its subsidiaries, operates an agentic inference cloud platform in North America, Europe, Asia, and internationally. The company provides AI and Digital Native Enterprises build, run, and scale intelligent applications for growing technology companies. It also offers infrastructure-a",80,Watchlist candidate
ALAB,"Astera Labs, Inc.",Technology,Semiconductors,338.89,11.75,3372017,1.14B,0.76,286.28,303.9,232.17,58.7,5.42,58.79B,48.92,53.01,104.5%,186.2%,75.1%,22.7%,6.8%,1.8 - Buy,19,7,0,190.0,389.95,500.0,15.1%,"Astera Labs, Inc. designs, manufactures, and sells semiconductor-based connectivity solutions for cloud and AI infrastructure in Taiwan and the United States. It offers an intelligent connectivity platform, comprised of semiconductor-based, high-speed, mixed-signal connectivity products that integrate a matrix of micro",80,Watchlist candidate
RMBS,Rambus Inc.,Technology,Semiconductors,97.71,11.54,2380088,232.56M,0.83,86.05,93.1,107.69,64.6,3.34,10.59B,14.01,26.25,20.4%,15.1%,80.4%,36.7%,7.6%,1.5 - Strong Buy,6,2,0,100.0,147.86,180.0,51.3%,"Rambus Inc. manufactures and sells semiconductor products in the United States, South Korea, Singapore, and internationally. It offers memory interface chips comprising DDR5 memory interface chips which include registering clock driver, multiplexed registering clock driver, multiplexed data buffer, power management int",80,Watchlist candidate
GRAL,"GRAIL, Inc.",Healthcare,Diagnostics & Research,108.57,34.42,2752049,298.79M,3.85,81.2,74.69,72.3,85.5,4.51,4.85B,29.34,-12.17,25.7%,N/A,49.7%,-332.0%,19.4%,2.1 - Buy,5,6,0,60.0,77.7,105.0,-28.4%,"GRAIL, Inc., a commercial-stage healthcare company, provides multi-cancer early detection testing and services in the United States and internationally. It offers Galleri, a cancer screening test for asymptomatic individuals over 50 years of age; and a diagnostic aid for cancer tests to accelerate diagnostic resolution",55,Needs confirmation
ARM,Arm Holdings plc,Technology,Semiconductors,320.44,16.27,10053195,3.22B,1.85,263.09,261.0,208.21,73.9,3.98,342.23B,66.38,104.9,22.4%,108.3%,97.5%,7.6%,11.5%,2.0 - Buy,28,13,2,125.0,288.7,500.0,-9.9%,"Arm Holdings plc researches, develops, licenses, and markets central processing unit (CPU) intellectual property (IP), graphics processing unit IP, systems IP, compute subsystems (CSS), and associated software, tools and related services. The company provides a product portfolio, including CPU IP, GPU and neural proces",50,Needs confirmation
FSLY,"Fastly, Inc.",Technology,Software - Application,27.41,14.9,7021477,192.49M,1.26,24.3,23.24,19.27,65.9,7.32,4.36B,6.35,46.71,23.3%,N/A,61.5%,-7.9%,14.8%,2.3 - Buy,5,6,1,20.0,27.0,32.0,-1.5%,"Fastly, Inc. operates an edge cloud platform for processing, serving, and securing its customer's applications in the United States, the Asia Pacific, Europe, and internationally. The edge cloud is a category of Infrastructure as a Service that enables developers to build, secure, and deliver digital experiences at the",50,Needs confirmation
LUNR,"Intuitive Machines, Inc.",Industrials,Aerospace & Defense,15.65,12.43,8347119,130.63M,0.88,14.37,15.13,20.06,52.0,5.36,2.51B,5.12,-100.97,309.8%,N/A,16.3%,-18.1%,27.1%,N/A,8,0,1,13.0,29.5,43.0,88.5%,"Intuitive Machines, Inc. operates as a space infrastructure and services company in the United States. The company provides delivery services for the transportation and delivery of payloads, such as satellites, scientific instruments, and cargo to various destinations in space, rideshare delivery, and lunar surface acc",50,Needs confirmation
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,745.57,12.08,35878042,26.75B,1.96,674.4,608.91,624.65,87.4,3.11,1899.36B,8.32,21.33,28.0%,-13.4%,81.7%,34.8%,1.3%,1.3 - Strong Buy,56,6,0,580.0,755.28,1000.0,1.3%,"Meta Platforms, Inc. engages in the development of products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality (VR) headsets, and AI glasses in the United States, Canada, Europe, Asia-Pacific, and internationally. It operates through two segments,",50,Needs confirmation
INTC,Intel Corporation,Technology,Semiconductors,121.12,11.53,142892567,17.31B,1.31,104.64,97.32,77.54,77.9,3.94,639.99B,11.22,58.71,25.4%,N/A,38.9%,12.2%,2.9%,2.5 - Buy,15,32,2,75.0,116.37,200.0,-3.9%,"Intel Corporation designs, develops, manufactures, markets, sells, and services computing and related end products and services in the United States, Ireland, Israel, and internationally. It operates through three segments: CCG, DCAI, and Intel Foundry. The company offers client computing group products, including clie",50,Needs confirmation
VNET,"VNET Group, Inc.",Technology,Information Technology Services,7.31,12.12,7591495,55.49M,1.72,6.35,6.95,8.95,70.0,4.29,2.08B,0.19,47.92,14.2%,N/A,20.5%,8.2%,24.9%,1.5 - Strong Buy,13,0,1,7.62,13.67,25.22,87.0%,"VNET Group, Inc., an investment holding company, provides data center hosting and related services in China. The company offers managed hosting services comprising managed retail services, such as colocation services that dedicate data center space to house customers' servers and networking equipment, as well as allow ",45,Needs confirmation
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,116.29,11.26,2982589,346.85M,0.84,107.16,113.83,110.54,61.0,4.19,16.71B,3.87,16.12,5.4%,-26.8%,57.5%,7.6%,15.6%,2.1 - Buy,15,9,1,93.0,153.31,195.0,31.8%,"Akamai Technologies, Inc. engages in the provision of security, delivery, and cloud computing solutions in the United States and internationally. It offers security solutions that include web application and application programming interfaces (API) protection solutions, which protect web, API, and mobile app traffic fr",45,Needs confirmation
AMRX,"Amneal Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,20.62,10.24,3935725,81.17M,1.92,17.93,17.9,14.66,72.3,3.69,7.18B,2.3,17.24,9.9%,157.1%,39.8%,18.3%,4.3%,1.5 - Strong Buy,6,0,0,20.0,22.0,25.0,6.7%,"Amneal Pharmaceuticals, Inc., a global biopharmaceutical company, develops, manufactures, markets, and distributes generics, injectables, biosimilars, and specialty branded pharmaceutical products in the United States, India, Ireland, and internationally. The company operates through three segments: Affordable Medicine",45,Needs confirmation
