Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
MAIR,Madison Air Solutions Corporation,Industrials,Building Products & Equipment,27.87,11.61,1992206,55.52M,0.91,27.68,33.71,N/A,36.3,6.27,13.98B,3.73,21.56,20.9%,111.9%,39.1%,19.8%,4.4%,1.5 - Strong Buy,9,2,0,33.0,41.78,49.0,49.9%,"Madison Air Solutions Corporation manufactures and sells indoor air quality products and solutions in the United States and internationally. It offers heating, air filtration and purification, air movement, and air conditioning solutions under the Reznor, AprilAire, Big Ass Fans, Nortek Air Solutions and, Roberts-Gordo",65,Needs confirmation
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,12.01,13.15,3025325,36.32M,0.38,11.4,7.45,4.83,82.3,7.89,3.89B,58.79,-16.79,-76.3%,N/A,-198.9%,-1550.0%,20.4%,1.1 - Strong Buy,9,0,0,9.0,17.12,30.0,42.6%,"AbCellera Biologics Inc. engages in discovering and developing antibody-based medicines for indications with unmet medical need in the United States. Its lead product is ABCL635, an non-hormonal medicine, which is in Phase 2 clinical trial to treat moderate-to-severe vasomotor symptoms; and ABCL575, a fully human, half",30,Speculative / news-only
GENB,"Generate Biomedicines, Inc.",Healthcare,Biotechnology,19.74,11.4,542550,10.71M,0.65,16.74,15.07,N/A,77.8,5.63,2.53B,95.67,-8.66,-37.7%,N/A,0.0%,-1134.2%,9.7%,1.3 - Strong Buy,6,0,0,22.0,25.6,30.0,29.7%,"Generate Biomedicines, Inc., engaged in the field of generative biology by using machine learning for drug discovery and development through the programming of novel protein therapeutics in the United States. It uses protein-based modalities for drug development. Its product includes GB-0895, is an investigational long",30,Speculative / news-only
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,154.06,10.93,13876917,2.14B,1.05,117.05,71.47,49.95,74.3,8.16,61.47B,27.59,-33.62,2.1%,N/A,-66.0%,-557.9%,15.2%,2.8 - Hold,4,17,2,25.0,95.67,170.0,-37.9%,"Moderna, Inc., a biotechnology company, provides messenger RNA medicines in the United States, Europe, and internationally. The company's respiratory vaccines include spikevax, mNEXSPIKE, mRESVIA, COVID, RSV, seasonal influenza, combination, and pandemic influenza vaccine; latent vaccines comprise cytomegalovirus, epst",15,Speculative / news-only
