Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
NUVL,"Nuvalent, Inc.",Healthcare,Biotechnology,123.48,39.54,44792062,5.53B,66.76,97.73,102.79,98.01,64.8,3.68,9.75B,N/A,-29.67,N/A,N/A,0.0%,0.0%,10.4%,1.2 - Strong Buy,20,0,0,116.0,143.62,172.0,16.3%,"Nuvalent, Inc., a clinical-stage biopharmaceutical company, engages in the development of therapies for patients with cancer. Its lead product candidates are Zidesamtinib (NVL-520), a novel ROS1-selective inhibitor to address the clinical challenges of emergent treatment resistance, central nervous system (CNS)-related",65,Needs confirmation
ALHC,"Alignment Healthcare, Inc.",Healthcare,Healthcare Plans,18.09,17.85,6043507,109.33M,1.26,15.05,18.43,18.54,60.2,4.8,3.74B,0.88,25.04,33.3%,N/A,12.4%,1.3%,12.5%,1.4 - Strong Buy,12,2,0,16.0,24.92,30.0,37.8%,"Alignment Healthcare, Inc. operates a consumer-centric healthcare platform for seniors in the United States. It delivers customized healthcare experience to meet the needs of seniors through its Medicare Advantage plans. Alignment Healthcare, Inc. was founded in 2013 and is based in Orange, California.",65,Needs confirmation
IFS,Intercorp Financial Services Inc.,Financial Services,Banks - Regional,52.54,11.41,283240,14.88M,0.92,49.3,47.78,44.58,66.0,3.61,5.84B,1.0,7.94,24.8%,37.3%,0.0%,46.9%,1.5%,N/A,3,0,0,52.21,59.33,68.59,12.9%,"Intercorp Financial Services Inc., together with its subsidiaries, provides banking, insurance, wealth management, and payment services for retail and commercial clients in Peru. The company offers loans, credit facilities, deposits, and current accounts; life annuity products with single payment and life insurance pro",65,Needs confirmation
SJM,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,114.12,12.14,2554246,291.49M,1.36,103.26,98.33,103.35,68.6,2.73,12.18B,1.36,10.82,7.0%,N/A,34.2%,18.8%,5.5%,2.2 - Buy,10,11,0,95.0,115.47,134.0,1.2%,"The J. M. Smucker Company manufactures and markets branded food and beverage products worldwide. The company operates through four segments: U.S. Retail Coffee, U.S. Retail Frozen Handheld and Spreads, U.S. Retail Pet Foods, and Sweet Baked Snacks. It offers coffee, sweet baked goods, pet snacks, frozen handheld produc",45,Needs confirmation
CECO,CECO Environmental Corp.,Industrials,Pollution & Treatment Controls,89.13,10.68,540891,48.21M,0.71,80.06,73.76,61.12,60.9,5.97,3.20B,3.98,39.65,16.5%,N/A,33.7%,5.9%,17.5%,N/A,5,0,0,85.0,93.6,103.0,5.0%,"CECO Environmental Corp. provides critical solutions in industrial air quality, industrial water treatment, and energy transition solutions in the United States, the United Kingdom, the Netherlands, China, and internationally. It operates through Engineered Systems and Industrial Process Solutions segments. The company",35,Speculative / news-only
