Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
TBBB,BBB Foods Inc.,Consumer Defensive,Discount Stores,36.48,11.46,4516102,164.77M,8.63,35.9,36.21,32.2,45.4,4.99,4.30B,0.05,-60.25,33.4%,N/A,16.2%,-0.1%,7.3%,1.9 - Buy,9,3,0,27.48,42.81,47.82,17.3%,"BBB Foods Inc., through its subsidiaries, operates a chain of grocery retail stores in Mexico. The company provides spot products comprising food and non-food products, such as clothing, electronics, household goods, and others. It also provides branded and private label products. The company serves low-to-middle incom",85,Watchlist candidate
FPS,"Forgent Power Solutions, Inc.",Industrials,Electrical Equipment & Parts,52.6,10.6,19733791,1.04B,4.33,47.63,37.66,N/A,68.1,7.12,16.01B,13.39,44.54,103.4%,165.7%,34.3%,10.4%,16.0%,1.4 - Strong Buy,8,1,0,44.0,55.89,63.0,6.3%,"Forgent Power Solutions, Inc. designs and manufactures electrical distribution equipment used in data centers, the power grid and energy-intensive industrial facilities. The company's products include automatic transfer switches (ATS), gear eHouses, generator connection cabinets, low voltage switchgear, low voltage tra",85,Watchlist candidate
NOW,"ServiceNow, Inc.",Technology,Software - Application,123.22,13.33,42053367,5.18B,1.73,105.12,97.62,141.47,78.7,4.52,127.08B,9.1,24.51,22.1%,2.3%,76.6%,13.3%,5.6%,1.4 - Strong Buy,43,4,1,85.0,142.5,236.0,15.6%,"ServiceNow, Inc. provides cloud-based solution for digital workflows in the North America, Europe, the Middle East and Africa, Asia Pacific, and internationally. The company provides asset management, integrated risk management, IT service management, Operational Technology management, Security Operations, strategic po",65,Needs confirmation
TEAM,Atlassian Corporation,Technology,Software - Application,104.35,11.86,6666317,695.63M,0.91,89.01,76.05,125.0,62.7,5.55,26.48B,4.28,16.82,31.7%,N/A,84.8%,-2.0%,12.5%,1.6 - Buy,26,7,0,80.68,143.18,480.0,37.2%,"Atlassian Corporation provides a collaboration software that enables organizations to connect all teams through a system of work that unlocks productivity at scale worldwide. Its product portfolio includes Jira, a project management platform for planning, tracking, and managing work; Confluence, a connected workspace t",65,Needs confirmation
WDAY,"Workday, Inc.",Technology,Software - Application,144.03,10.78,3953785,569.44M,0.78,128.56,125.44,185.88,63.0,4.76,35.57B,3.61,11.41,13.5%,248.0%,75.8%,13.3%,15.2%,2.0 - Buy,24,17,0,115.0,171.13,275.0,18.8%,"Workday, Inc. provides enterprise cloud applications in the United States and internationally. The company offers a suite of financial management applications to maintain accounting information; manage financial processes, such as payables and receivables; identify real-time financial, operational, and management insig",60,Needs confirmation
DELL,Dell Technologies Inc.,Technology,Computer Hardware,407.65,28.57,28986614,11.82B,3.63,295.16,215.59,154.19,84.2,3.78,264.80B,2.33,20.53,39.5%,57.3%,20.1%,9.6%,7.1%,2.0 - Buy,18,7,2,138.0,220.26,380.0,-46.0%,"Dell Technologies Inc. designs, develops, manufactures, markets, sells, and supports various comprehensive and integrated solutions, products, and services in the Americas, Europe, the Middle East, Asia, and internationally. The company operates through Infrastructure Solutions Group (ISG) and Client Solutions Group (C",55,Needs confirmation
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,43.49,13.82,40342024,1.75B,2.3,36.86,28.64,24.37,81.7,3.64,57.68B,1.61,15.91,18.4%,-30.3%,32.1%,7.6%,5.8%,2.2 - Buy,11,11,1,21.0,29.92,40.0,-31.2%,"Hewlett Packard Enterprise Company, together with its subsidiaries, develops intelligent solutions in the United States, the Americas, Europe, the Middle East, Africa, the Asia Pacific, Japan, and internationally. It operates in five segments: Server, Hybrid Cloud, Networking, Financial Services, and Corporate Investme",55,Needs confirmation
NTAP,"NetApp, Inc.",Technology,Software - Infrastructure,179.72,26.2,7458753,1.34B,3.03,138.33,112.18,110.88,94.1,3.63,35.59B,5.31,21.06,4.4%,16.0%,70.5%,25.2%,14.0%,2.4 - Buy,8,11,1,88.0,121.27,170.0,-32.5%,"NetApp, Inc. provides a range of enterprise software, systems, and services that customers use to transform their data infrastructures in the United States, Canada, Latin America, Europe, the Middle East, Africa, and the Asia Pacific. It operates through two segments, Hybrid Cloud and Public Cloud. The company offers d",50,Needs confirmation
NXT,Nextpower Inc.,Technology,Solar,151.3,10.3,2262296,342.29M,1.1,132.44,121.66,99.37,67.2,7.69,23.03B,6.47,27.77,-4.7%,-7.1%,21.9%,18.2%,7.0%,1.7 - Buy,21,5,1,64.0,142.92,177.0,-5.5%,"Nextpower Inc. provides solar and energy technology solutions for utility-scale power plants in the United States and internationally. It offers tracking solutions, including NX Horizon, a solar tracking solution; NX Horizon-XTR, a terrain-following tracker to expand the addressable market for trackers on sites with sl",45,Needs confirmation
OKTA,"Okta, Inc.",Technology,Software - Infrastructure,121.84,28.63,9137828,1.11B,2.45,94.54,79.49,85.14,81.3,4.08,21.37B,7.32,28.55,11.6%,170.8%,77.4%,6.6%,5.6%,1.7 - Buy,34,11,1,75.0,102.07,140.0,-16.2%,"Okta, Inc. operates as an identity partner in the United States and internationally. It offers Single Sign-on to secure access to cloud and on-premises applications from any device; Adaptive MFA for a risk-based layer of security for an organization's cloud, mobile, and web applications; API Access Management, which en",35,Speculative / news-only
