Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
NUVB,Nuvation Bio Inc.,Healthcare,Biotechnology,6.45,11.21,5726237,36.93M,0.94,5.92,5.22,5.57,65.2,6.01,2.25B,15.7,-107.5,2598.7%,N/A,90.8%,4.7%,25.9%,1.4 - Strong Buy,9,1,0,7.0,12.33,19.0,91.2%,"Nuvation Bio Inc., a clinical-stage biopharmaceutical company, focuses on developing product candidates for cancer treatment. The company's lead product candidate is IBTROZI (taletrectinib), a ROS1 inhibitor for the treatment of patients with ROS1+ non-small cell lung cancer. It is also developing Safusidenib, an inhib",65,Needs confirmation
HUT,Hut 8 Corp.,Financial Services,Capital Markets,102.85,12.5,4054440,417.00M,0.89,99.38,110.74,67.18,40.3,9.22,11.57B,40.68,-55.31,225.5%,N/A,59.7%,-521.5%,12.4%,1.3 - Strong Buy,16,0,0,70.0,134.88,226.0,31.1%,"Hut 8 Corp., together with its subsidiaries, operates as an energy infrastructure platform that integrates power, digital infrastructure, and compute at scale to fuel energy-intensive use cases in the United States and Canada. It operates through Power, Digital Infrastructure, Compute, and Other segments. The company o",50,Needs confirmation
ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,5.06,13.98,32441539,164.15M,0.77,4.72,5.59,7.3,56.6,6.22,3.86B,2031.63,-5.42,N/A,N/A,15.8%,-15762.5%,16.4%,1.9 - Buy,6,3,0,4.5,10.5,18.0,107.5%,"Archer Aviation Inc., together with its subsidiaries, designs and develops aircraft and related technologies and services for commercial and defense sectors in the United States and internationally. The company offers electric vertical takeoff and landing (eVTOL) aircraft for urban air taxi operations. Archer Aviation ",45,Needs confirmation
CLSK,"CleanSpark, Inc.",Financial Services,Capital Markets,14.55,11.7,12602541,183.43M,0.55,13.27,15.24,13.29,46.1,7.79,3.74B,5.05,-20.1,-24.9%,N/A,50.7%,-246.3%,42.9%,1.3 - Strong Buy,13,0,0,16.0,22.35,27.0,53.5%,"CleanSpark, Inc. operates as a bitcoin mining company in the Americas. The company owns, leases, and operates data centers and power assets. Its infrastructure supports Bitcoin, a digital commodity. The company was formerly known as Stratean Inc. and changed its name to CleanSpark, Inc. in November 2016. CleanSpark, In",45,Needs confirmation
IREN,IREN Limited,Financial Services,Capital Markets,39.35,17.03,38891458,1.53B,0.83,38.32,52.28,48.97,40.6,8.46,14.06B,18.57,-41.86,-0.0%,N/A,68.4%,-64.5%,22.0%,1.6 - Buy,12,3,1,41.0,80.93,126.0,105.7%,"IREN Limited operates in the vertically integrated data center business in Australia and Canada. The company owns and operates computing hardware, as well as electrical infrastructure and data centers. It also mines Bitcoin, a scarce digital asset that is created and transmitted through the operation of a peer-to-peer ",30,Speculative / news-only
CIFR,Cipher Digital Inc.,Technology,Information Technology Services,20.22,15.15,17415664,352.14M,0.7,20.09,22.82,18.36,37.8,9.41,8.28B,39.45,42.16,-28.8%,N/A,12.4%,-249.4%,16.1%,1.3 - Strong Buy,16,0,0,23.0,32.62,69.0,61.4%,"Cipher Digital Inc., together with its subsidiaries, develops and operates industrial-scale data centers for bitcoin mining and high-performance compute (HPC) hosting in the United States. It develops HPC data center facilities across various sites for hyperscaler tenants; operates power at one bitcoin mining data cent",30,Speculative / news-only
MARA,"MARA Holdings, Inc.",Financial Services,Capital Markets,11.86,10.9,18302094,216.97M,0.42,12.05,13.31,12.16,36.9,8.6,4.52B,5.21,-17.45,-18.4%,N/A,45.3%,-558.1%,32.1%,2.2 - Buy,8,4,1,5.5,18.13,30.0,52.9%,"MARA Holdings, Inc. operates as an energy and digital infrastructure company in North America, the Middle East, Europe, and Latin America. The company leverages Bitcoin Mining and Artificial Intelligence compute to monetize excess energy and underutilized power, optimize power management across operations and support A",30,Speculative / news-only
CHRN,ChronoScale Holdings Corporation,Technology,Information Technology Services,29.18,10.4,144271,4.21M,0.41,24.36,19.46,10.82,60.3,11.25,4.24B,50.22,N/A,N/A,N/A,-8.5%,-39.4%,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,"ChronoScale Holdings Corporation designs and develops a compute platform to support artificial intelligence (AI) workloads. The company focuses on large-scale deployments and provides dedicated compute environments engineered for performance, consistency, and long-term operational execution. The company was formerly kn",15,Speculative / news-only
