Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
EXK,Endeavour Silver Corp.,Basic Materials,Silver,10.66,10.37,2251142,24.00M,0.33,10.36,8.52,9.64,73.1,4.24,3.16B,4.28,9.04,139.4%,N/A,44.1%,30.5%,N/A,1.3 - Strong Buy,8,0,0,14.0,15.5,17.0,45.4%,"Endeavour Silver Corp., a silver mining company, engages in the acquisition, exploration, development, extraction, processing, refining, and reclamation of mineral properties in Mexico, Chile, Peru, and the United States. It primarily explores for gold and silver deposits, and precious metals, as well as polymetals. Th",80,Watchlist candidate
TEM,"Tempus AI, Inc.",Healthcare,Health Information Services,56.45,14.35,5312549,299.87M,0.9,53.65,51.74,56.95,72.1,5.63,10.18B,7.11,-3713.49,21.6%,N/A,64.0%,-20.1%,33.3%,2.2 - Buy,8,7,1,35.0,62.64,100.0,11.0%,"Tempus AI, Inc. operates as a healthcare technology company in the United States. It offers the Tempus platform, a closed-loop, full-stack, bi-directional integrations between a clinician's desktop and its laboratory diagnostic capabilities, analytics platform, and repository of multimodal data; and Hub, a clinical app",65,Needs confirmation
ARIS,Aris Mining Corporation,Basic Materials,Gold,19.63,11.6,284555,5.59M,0.19,17.85,15.51,16.86,78.1,3.23,4.05B,3.19,6.59,62.3%,N/A,59.5%,47.8%,N/A,1.5 - Strong Buy,6,0,0,37.0,37.0,37.0,88.5%,"Aris Mining Corporation, together with its subsidiaries, engages in the acquisition, exploration, development, and operation of gold properties in Canada, Colombia, and Guyana. It also explores for silver and copper deposits. Aris Mining Corporation was formerly known as GCM Mining Corp. and changed its name to Aris Mi",65,Needs confirmation
IAG,IAMGOLD Corporation,Basic Materials,Gold,20.09,10.42,2250155,45.19M,0.4,18.5,16.04,17.34,79.6,3.43,11.47B,3.11,8.8,47.5%,191.4%,50.3%,45.0%,N/A,1.8 - Buy,9,3,0,20.0,23.6,34.0,17.5%,"IAMGOLD Corporation, through its subsidiaries, operates as a gold producer and developer in Canada and Burkina Faso. The company's flagship project includes Côté Gold that covers an area of 596 hectares located in the Chester and Yeo Townships, district of sudbury, in northeastern Ontario. IAMGOLD Corporation was incor",65,Needs confirmation
FSM,Fortuna Mining Corp.,Basic Materials,Gold,11.53,10.31,1507783,17.38M,0.29,10.79,9.02,9.83,78.4,3.06,3.42B,2.89,6.56,38.2%,101.4%,57.2%,51.1%,N/A,2.0 - Buy,3,1,0,14.5,14.5,14.5,25.8%,"Fortuna Mining Corp. engages in the precious and base metal mining and related activities in Argentina, Côte d'Ivoire, Mexico, Peru, and Senegal. The company operates through Mansfield, Sango, and Bateas segments. It operates the Lindero gold mine and the Séguéla gold mine, as well as the Caylloma silver, lead, and zin",65,Needs confirmation
AGI,Alamos Gold Inc.,Basic Materials,Gold,36.21,10.06,1243183,45.02M,0.27,33.69,31.46,38.81,80.5,2.9,15.16B,6.8,11.85,35.6%,68.8%,70.8%,66.5%,N/A,1.4 - Strong Buy,13,0,0,38.0,46.25,60.0,27.7%,"Alamos Gold Inc. operates as a gold producer in Canada and Mexico. It primarily explores for gold deposits. The company was founded in 2003 and is based in Toronto, Canada.",65,Needs confirmation
DRD,DRDGOLD Limited,Basic Materials,Gold,27.41,12.81,145575,3.99M,0.46,24.5,22.15,28.45,84.2,2.32,2.38B,0.26,40.31,32.9%,97.9%,46.9%,46.3%,1.5%,N/A,1,0,0,33.0,33.0,33.0,20.4%,"DRDGOLD Limited, a gold mining company, engages in the extraction of gold from the retreatment of surface mine tailings in South Africa. It sells gold and silver bullion. It is involved in provision care and maintenance services; produces renewable power; employee home loans; and operation of training center. The compa",50,Needs confirmation
EL,The Estée Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,98.53,16.92,4137317,407.65M,1.32,87.9,84.46,91.55,74.5,2.58,35.65B,2.4,31.0,4.6%,-45.5%,74.7%,14.9%,3.6%,2.4 - Buy,13,14,1,70.0,95.85,125.0,-2.7%,"The Estée Lauder Companies Inc. manufactures, markets, and sells skin care, makeup, fragrance, and hair care products worldwide. The company offers skin care products, including moisturizers, serums, cleansers, toners, eye care, body care, exfoliators, acne care and oil correctors, facial masks, and sun care products; ",45,Needs confirmation
BNTX,BioNTech SE,Healthcare,Biotechnology,115.25,24.26,3461562,398.96M,3.66,95.5,92.06,97.56,80.2,2.68,28.95B,10.93,-20.47,-59.5%,N/A,76.6%,-806.6%,3.7%,1.5 - Buy,15,5,0,76.96,121.58,145.73,5.5%,"BioNTech SE, together with its subsidiaries, engages in the development and commercialization of immunotherapies in Germany. The company offers BNT162, an mRNA vaccine for the treatment of SARS-CoV-2 virus. It also develops oncology drugs under Phase III clinical trial, including Gotistobart for metastatic non-small ce",35,Speculative / news-only
TWST,Twist Bioscience Corporation,Healthcare,Diagnostics & Research,136.64,17.69,997045,136.24M,0.56,123.35,95.91,57.72,76.6,6.41,8.57B,19.84,-215.75,23.2%,N/A,52.0%,-30.6%,28.7%,1.5 - Buy,9,2,0,36.0,105.3,120.0,-22.9%,"Twist Bioscience Corporation manufactures and sells synthetic DNA-based products. The company offers synthetic genes and gene fragments used in product development for therapeutics, diagnostics, chemicals/materials, food/agriculture, data storage, and various applications within academic research by biotech, pharma, in",35,Speculative / news-only
NG,NovaGold Resources Inc.,Basic Materials,Gold,8.21,10.8,1281527,10.52M,0.28,7.78,6.63,8.78,77.5,3.98,3.60B,N/A,-34.73,N/A,N/A,0.0%,0.0%,9.0%,1.6 - Buy,7,0,0,9.5,12.11,14.28,47.5%,"NovaGold Resources Inc. operates in the gold mining industry, focusing on the exploration and development of gold mineral properties in the United States. The company's principal asset owns 60% interest in the Donlin Gold project consisting of 493 mining claims covering an area of approximately 29,008 hectares located ",30,Speculative / news-only
HYMC,Hycroft Mining Holding Corporation,Basic Materials,Gold,26.67,10.26,572440,15.27M,0.29,26.64,23.11,28.92,69.7,5.32,2.49B,N/A,-36.79,N/A,N/A,0.0%,0.0%,25.7%,2.0 - Buy,1,1,0,25.0,25.0,25.0,-6.3%,"Hycroft Mining Holding Corporation, together with its subsidiaries, operates as a gold and silver exploration and development company in the United States. Its property, Hycroft Mine, consists of 25 patented claims covering approximately 1,855 acres and 3,249 unpatented lode and placer claims spanning 62,298 acres loca",30,Speculative / news-only
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,145.78,131.54,56625270,8.25B,8.23,73.03,63.34,47.45,92.2,3.9,58.21B,26.12,-29.78,2.1%,N/A,-66.0%,-557.9%,15.2%,2.9 - Hold,4,16,3,25.0,50.84,79.0,-65.1%,"Moderna, Inc., a biotechnology company, provides messenger RNA medicines in the United States, Europe, and internationally. The company's respiratory vaccines include spikevax, mNEXSPIKE, mRESVIA, COVID, RSV, seasonal influenza, combination, and pandemic influenza vaccine; latent vaccines comprise cytomegalovirus, epst",20,Speculative / news-only
PPC,Pilgrim's Pride Corporation,Consumer Defensive,Packaged Foods,32.26,13.23,807648,26.05M,0.51,28.16,28.37,34.87,62.0,3.63,7.68B,0.42,10.64,-2.8%,-96.2%,9.7%,1.6%,3.1%,2.7 - Hold,2,7,0,28.0,33.19,42.0,2.9%,"Pilgrim's Pride Corporation produces, processes, markets, and distributes fresh, frozen, and value-added chicken and pork products to retailers, distributors, and foodservice operators in the United States, Europe, and Mexico. The company offers fresh products, including refrigerated whole or cut-up chicken, selected c",15,Speculative / news-only
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,151.0,11.71,9038469,1.36B,0.88,135.99,126.72,114.62,87.1,2.3,372.88B,5.6,15.81,5.1%,N/A,75.9%,-0.2%,1.1%,1.8 - Buy,20,7,1,105.0,137.73,155.0,-8.8%,"Merck & Co., Inc. operates as a healthcare company worldwide. It offers human health pharmaceutical for various areas under the Keytruda, Keytruda Qlex, Welireg, Gardasil, ProQuad, M-M-R II, Varivax, Vaxneuvance, Capvaxive, RotaTeq, Pneumovax 23, Bridion, Prevymis, Dificid, Zerbaxa, Winrevair, Adempas/ Verquvo, Ohtuvay",15,Speculative / news-only
