Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
SEI,"Solaris Energy Infrastructure, Inc.",Energy,Oil & Gas Equipment & Services,64.33,16.96,2860711,184.03M,1.0,53.55,59.62,59.63,53.8,5.34,6.47B,8.49,34.6,46.9%,-13.5%,49.9%,26.5%,23.8%,1.4 - Strong Buy,14,0,0,73.0,94.99,120.0,47.7%,"Solaris Energy Infrastructure, Inc. provides modular and scalable equipment-based solutions for power generation, control and distribution, and management of raw materials used in the completion of oil and natural gas wells in the United States. It operates in Solaris Power Solutions and Solaris Logistics Solutions seg",80,Watchlist candidate
DOCN,"DigitalOcean Holdings, Inc.",Technology,Software - Infrastructure,128.36,14.15,1431171,183.71M,0.45,113.45,124.48,97.53,52.3,5.56,15.09B,14.93,69.7,28.6%,-24.5%,57.2%,10.4%,8.7%,1.5 - Buy,14,3,0,140.0,175.2,200.0,36.5%,"DigitalOcean Holdings, Inc., through its subsidiaries, operates an agentic inference cloud platform in North America, Europe, Asia, and internationally. The company provides AI and Digital Native Enterprises build, run, and scale intelligent applications for growing technology companies. It also offers infrastructure-a",80,Watchlist candidate
LITE,Lumentum Holdings Inc.,Technology,Communication Equipment,992.84,12.66,5091763,5.06B,1.05,903.36,819.91,688.95,60.5,5.94,89.06B,29.55,29.81,109.3%,N/A,44.2%,28.0%,8.8%,1.5 - Strong Buy,22,4,0,820.0,1148.43,1400.0,15.7%,"Lumentum Holdings Inc. manufactures and sells optical and photonic products in the Americas, the Asia-Pacific, Europe, the Middle East, and Africa. It offers component products, including semiconductor laser chips, laser sub-assemblies, line subsystems, and wavelength management systems. The company also offers system ",80,Watchlist candidate
SMTC,Semtech Corporation,Technology,Semiconductors,162.7,10.02,2722860,443.01M,0.82,139.83,133.1,107.94,67.2,6.2,15.18B,12.93,27.88,32.7%,N/A,52.9%,16.2%,9.0%,1.2 - Strong Buy,14,1,0,155.0,209.29,300.0,28.6%,"Semtech Corporation provides semiconductor, Internet of Things systems, and cloud connectivity service solutions in the Asia- Pacific, North America, and Europe. The company operates in three segments: Signal Integrity, Analog Mixed Signal and Wireless, and IoT Systems and Connectivity. It provides signal integrity pro",80,Watchlist candidate
CRWV,"CoreWeave, Inc.",Technology,Software - Infrastructure,102.78,15.02,35526774,3.65B,1.28,86.92,85.74,91.61,62.3,4.52,56.68B,7.47,-52.74,112.5%,N/A,67.4%,-1.9%,18.9%,1.8 - Buy,26,10,2,39.0,144.46,317.0,40.5%,"CoreWeave, Inc. operates as a cloud infrastructure technology company in the United States. The company offers CoreWeave Cloud platform that comprises proprietary software and cloud services that deliver the automation and efficiency needed to manage complex artificial intelligence (AI) infrastructure at scale. It also",65,Needs confirmation
AXTI,"AXT, Inc.",Technology,Semiconductor Equipment & Materials,69.34,12.49,8934232,619.50M,0.86,60.8,62.89,54.92,37.6,8.43,4.55B,36.23,31.15,164.8%,N/A,32.2%,21.9%,17.1%,1.6 - Buy,4,1,0,55.0,91.6,125.0,32.1%,"AXT, Inc. designs, develops, manufactures, and distributes compound and single element semiconductor substrates. The company provides indium phosphide for use in data center connectivity using light/lasers, high-speed data transfer in data centers, 5G communications, fiber optic lasers and detectors, consumer devices, ",65,Needs confirmation
INFQ,"Infleqtion, Inc.",Technology,Software - Infrastructure,14.29,11.21,9076627,129.70M,0.78,13.17,11.67,N/A,57.8,6.06,3.22B,75.89,-63.55,156.5%,N/A,29.0%,-214.6%,N/A,1.0 - Strong Buy,6,0,0,19.0,21.33,23.0,49.3%,"Infleqtion, Inc. engages in the development and commercialization of quantum technology products in the United States, Europe, and Asia. It delivers neutral atom solutions for quantum computing, networking, sensing, and security. The company offers quantum sensing, quantum computing and software; quantum clocks and qua",65,Needs confirmation
NBIS,Nebius Group N.V.,Communication Services,Internet Content & Information,250.57,10.68,17423903,4.37B,0.83,215.65,213.28,155.59,50.8,5.02,68.11B,50.26,-83.59,454.0%,N/A,74.3%,-0.2%,23.4%,1.8 - Buy,3,1,0,144.0,286.69,415.0,14.4%,"Nebius Group N.V., a technology company, engages in building full-stack infrastructure to service the global AI industry in the United States, the United Kingdom, and internationally. It offers Nebius builds full-stack infrastructure for AI, including large-scale GPU clusters, cloud platforms, and tools and services fo",65,Needs confirmation
VIAV,Viavi Solutions Inc.,Technology,Communication Equipment,38.58,10.67,2522166,97.31M,0.41,35.96,39.63,34.92,41.8,4.99,9.52B,6.27,19.78,52.5%,326.5%,60.9%,14.3%,5.0%,1.4 - Strong Buy,7,1,0,44.0,61.43,70.0,59.2%,"Viavi Solutions Inc. engages in the provision of test and measurement and optical technologies for military, aerospace, railway and first responder communications in the Americas, the Asia-Pacific, Europe, the Middle East, and Africa. The company operates in two segments, Network and Service Enablement (NSE) and Optica",65,Needs confirmation
INTC,Intel Corporation,Technology,Semiconductors,105.86,10.5,93920068,9.94B,0.83,92.93,100.16,74.51,63.4,3.72,559.51B,9.81,51.83,25.4%,N/A,38.9%,12.2%,2.6%,2.5 - Buy,14,32,2,75.0,115.78,200.0,9.4%,"Intel Corporation designs, develops, manufactures, markets, sells, and services computing and related end products and services in the United States, Ireland, Israel, and internationally. It operates through three segments: CCG, DCAI, and Intel Foundry. The company offers client computing group products, including clie",65,Needs confirmation
