Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
BULL,Webull Corporation,Technology,Software - Application,10.05,11.72,20794672,209.09M,1.64,9.29,7.81,7.16,71.0,5.83,5.43B,8.05,31.92,53.3%,N/A,77.2%,22.9%,6.2%,1.5 - Strong Buy,3,1,0,9.0,13.0,15.0,29.3%,"Webull Corporation operates as a digital investment platform. The company offers various products and services, including trading, wealth management product distribution, market data and information, user community, and investor education. Its platform enables retail investors to trade securities through its licensed b",80,Watchlist candidate
SNOW,Snowflake Inc.,Technology,Software - Application,369.28,20.75,15100927,5.58B,2.76,326.3,293.33,218.23,60.4,3.49,127.92B,25.43,125.78,33.5%,N/A,67.1%,-22.2%,5.6%,1.5 - Buy,44,5,2,110.0,331.66,500.0,-10.2%,"Snowflake Inc. provides a cloud-based data platform for various organizations in the United States and internationally. The company's platform includes artificial intelligence (AI) Data Cloud, which enables customers to consolidate data into a single source of truth to drive meaningful business insights, build data app",70,Watchlist candidate
HOOD,"Robinhood Markets, Inc.",Financial Services,Capital Markets,123.32,15.26,35924593,4.43B,1.47,109.16,101.85,95.06,70.3,5.1,110.88B,22.48,37.6,32.3%,47.6%,91.9%,43.9%,4.2%,1.7 - Buy,24,3,2,57.0,123.38,163.6,0.0%,"Robinhood Markets, Inc. operates financial services platform in the United States. The company's platform allows users to invest in stocks, exchange-traded funds (ETFs), and American depository receipts. It offers fractional trading, recurring investments, access to investing on margin, fully-paid securities lending, c",65,Needs confirmation
HSAI,Hesai Group,Consumer Cyclical,Auto Parts,18.62,12.24,1819780,33.88M,1.03,17.39,16.91,21.09,47.0,4.55,23.41B,7.01,20.24,21.9%,25.0%,40.7%,0.3%,7.2%,1.3 - Strong Buy,20,0,0,21.62,28.31,36.14,52.0%,"Hesai Group, through with its subsidiaries, engages in the development, manufacturing, and sale of three-dimensional light detection and ranging solutions (LiDAR) in Mainland China, Europe, North America, and internationally. The company provides gas sensor products, validation services, solution service, and other ser",65,Needs confirmation
BTDR,Bitdeer Technologies Group,Technology,Software - Application,11.82,10.1,11175716,132.15M,0.93,10.92,11.61,11.98,65.6,7.67,3.21B,3.96,-31.74,47.1%,N/A,0.7%,-42.5%,31.0%,1.4 - Strong Buy,12,1,0,10.0,21.77,35.0,84.1%,"Bitdeer Technologies Group operates as a technology company for blockchain and high-performance computing (HPC) in Singapore, the United States, Bhutan, Norway, Finland, Ethiopia, Canada, and internationally. The company offers hash rate sharing solutions, including cloud hash rate and hash-rate subscription plans; and",65,Needs confirmation
GLXY,Galaxy Digital,Financial Services,Capital Markets,26.67,10.85,4953117,132.10M,0.69,24.54,23.45,25.08,70.1,6.11,15.71B,0.27,-83.31,-3.8%,N/A,100.0%,96.2%,16.0%,1.6 - Buy,14,2,0,25.0,39.75,57.0,49.0%,"Galaxy Digital Inc. engages in the digital asset and data centre infrastructure businesses in North America and internationally. It operates through Digital Assets, Data Centers, and Treasury and Corporate segments. The Digital Assets segment provides over-the-counter spot and derivatives trading, lending, and structur",60,Needs confirmation
HCM,HUTCHMED (China) Limited,Healthcare,Drug Manufacturers - Specialty & Generic,14.2,17.9,368054,5.22M,6.55,12.43,11.62,13.25,74.8,2.08,2.47B,4.49,52.46,0.2%,-96.5%,13.3%,0.3%,0.2%,N/A,9,4,0,11.1,20.99,40.4,47.9%,"HUTCHMED (China) Limited, together with its subsidiaries, discovers, develops, and commercializes targeted therapeutics and immunotherapies to treat cancer and immunological diseases in Hong Kong, the United States, and internationally. It provides Fruquintinib, a selective and potent oral inhibitor of vascular endothe",50,Needs confirmation
BLSH,Bullish,Technology,Software - Infrastructure,36.73,12.52,1289202,47.35M,0.78,33.22,25.74,34.08,74.5,5.39,5.57B,18.52,52.47,68.8%,N/A,100.0%,-314.3%,16.6%,2.2 - Buy,4,6,0,25.0,38.89,53.0,5.9%,"Bullish, a global digital asset platform that provides market infrastructure and information services in United States. The company operates Bullish Exchange, a digital assets spot and derivatives exchange that integrates a central limit order book matching engine with automated market making to provide deep and predic",50,Needs confirmation
BMNR,"Bitmine Immersion Technologies, Inc.",Financial Services,Capital Markets,25.88,12.21,38737486,1.00B,1.0,24.6,18.21,22.34,73.1,6.07,15.61B,255.01,27.52,2167.8%,N/A,84.4%,8.4%,8.0%,N/A,3,0,0,25.0,31.87,40.0,23.2%,"Bitmine Immersion Technologies, Inc. operates as a blockchain technology company primarily in the United States. The company engages in ETH treasury operations; BTC ecosystem services, including consulting and advisory engagements and equipment leasing; facilitation and optimization of third-party power and hosting arr",50,Needs confirmation
CLS,Celestica Inc.,Technology,Electronic Components,306.95,10.51,2370073,727.50M,1.0,300.34,329.6,328.09,37.0,4.77,38.70B,2.48,15.7,62.4%,74.2%,12.0%,9.8%,3.0%,1.3 - Strong Buy,20,0,0,415.0,477.22,550.0,55.5%,"Celestica Inc., together with its subsidiaries, provides supply chain solutions in Asia, North America, and internationally. It operates through two segments, Advanced Technology Solutions, and Connectivity and Cloud Solutions. The company offers a range of product manufacturing and related supply chain services, inclu",50,Needs confirmation
