Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
APP,AppLovin Corporation,Communication Services,Advertising Agencies,576.97,12.2,4622753,2.67B,0.99,501.42,451.88,535.01,68.0,6.2,193.83B,31.44,26.31,59.0%,113.1%,88.4%,78.2%,3.8%,1.5 - Strong Buy,28,4,0,340.0,644.47,860.0,11.7%,"AppLovin Corporation provides end-to-end artificial intelligence-powered advertising solutions for businesses in the United States and internationally. It operates through two segments, Advertising and Apps. The company offers Axon Ads Manager, a suite of marketing solutions that enables developers to automate, optimiz",80,Watchlist candidate
BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,Specialty Retail,19.68,11.0,12227574,240.64M,2.02,17.35,18.68,22.4,53.1,4.57,3.96B,0.54,6.85,-2.3%,-4.7%,43.8%,22.5%,7.9%,2.5 - Hold,4,13,0,19.0,26.43,56.0,34.3%,"Bath & Body Works, Inc. operates as a specialty retailer of personal care and home fragrance products. The company offers body and home fragrances, including 3-wick candles, home fragrance diffusers, fine fragrance mists, eau de parfum, body wash, hand soaps, body lotions, and body creams, as well as sanitizer and othe",65,Needs confirmation
BEAM,Beam Therapeutics Inc.,Healthcare,Biotechnology,32.77,10.0,1709668,56.03M,0.81,28.38,28.05,25.87,51.5,5.63,3.37B,20.56,-6.91,324.9%,N/A,-146.9%,-337.8%,31.5%,1.3 - Strong Buy,15,2,0,26.0,51.07,80.0,55.8%,"Beam Therapeutics Inc., a biotechnology company, engages in the development of precision genetic medicines for patients suffering from serious diseases in the United States. Its programs in hematology and genetic disease portfolio include Ristoglogene autogetemcel, a patient-specific, autologous hematopoietic stem cell",65,Needs confirmation
ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,83.58,11.77,2622115,219.16M,1.95,75.19,85.84,90.94,57.2,4.19,3.75B,0.71,7.14,5.4%,3.0%,61.5%,15.2%,9.2%,2.0 - Buy,8,4,1,76.0,113.1,149.0,35.3%,"Abercrombie & Fitch Co., through its subsidiaries, operates as an omnichannel retailer in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific. It offers an assortment of apparel, personal care products, and accessories for men, women, and kids under the Abercrombie & Fitch, abercrombie kids, Your Person",60,Needs confirmation
DY,"Dycom Industries, Inc.",Industrials,Engineering & Construction,552.97,31.51,800815,442.83M,1.82,435.28,397.91,343.62,69.5,3.38,16.60B,2.99,32.18,34.4%,-50.7%,20.6%,4.7%,7.5%,1.1 - Strong Buy,11,0,0,415.0,473.82,575.0,-14.3%,"Dycom Industries, Inc. provides specialty contracting services to the digital infrastructure, telecommunications infrastructure, and utility industries in the United States. It operates through Communications and Building Systems segments. The company offers engineering services to telecommunications providers, includi",50,Needs confirmation
LUNR,"Intuitive Machines, Inc.",Industrials,Aerospace & Defense,39.98,14.7,19407073,775.99M,1.34,35.12,26.04,16.48,70.3,12.14,6.42B,19.2,-299.93,198.7%,N/A,9.7%,-10.3%,21.4%,1.6 - Buy,7,1,1,11.0,38.0,50.0,-5.0%,"Intuitive Machines, Inc. operates as a space infrastructure and services company in the United States. The company provides delivery services for the transportation and delivery of payloads, such as satellites, scientific instruments, and cargo to various destinations in space, rideshare delivery, and lunar surface acc",50,Needs confirmation
MANU,Manchester United plc,Communication Services,Entertainment,22.38,13.46,689603,15.43M,2.16,20.08,17.99,16.91,72.3,3.34,N/A,N/A,276.47,-4.2%,N/A,87.5%,8.6%,9.7%,1.7 - Buy,2,1,0,15.9,24.14,30.73,7.9%,"Manchester United plc, together with its subsidiaries, operates a professional sports team in the United Kingdom. The company is involved in marketing and sponsorship relationships with international and regional companies to commercialize its brand. It also markets and sells sports apparel, training and leisure wear, ",50,Needs confirmation
