Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
VICR,Vicor Corporation,Technology,Electronic Components,197.83,11.11,389800,77.11M,0.46,184.75,219.01,204.46,48.8,5.35,9.12B,19.24,35.62,49.3%,14.3%,56.6%,24.3%,8.5%,1.5 - Strong Buy,4,0,0,320.0,386.25,450.0,95.2%,"Vicor Corporation, together with its subsidiaries, designs, develops, manufactures, and markets modular power components and power systems for converting electrical power for use in electrically powered devices in the United States, Europe, the Asia Pacific, and internationally. The company offers a range of brick-form",80,Watchlist candidate
HUT,Hut 8 Corp.,Financial Services,Capital Markets,100.55,10.98,3158303,317.57M,0.69,90.81,94.29,76.33,66.4,6.45,12.39B,38.98,-19.36,81.4%,N/A,62.3%,-275.4%,13.2%,1.3 - Strong Buy,18,0,0,120.0,161.78,273.0,60.9%,"Hut 8 Corp., together with its subsidiaries, operates as an energy infrastructure platform that integrates power, digital infrastructure, and compute at scale to fuel energy-intensive use cases in the United States and Canada. It operates through Power, Digital Infrastructure, Compute, and Other segments. The company o",65,Needs confirmation
DELL,Dell Technologies Inc.,Technology,Computer Hardware,558.92,10.32,9757749,5.45B,1.3,511.55,448.73,261.71,70.4,5.49,355.37B,2.35,19.54,57.7%,272.9%,19.9%,12.0%,4.9%,1.8 - Buy,20,9,0,465.0,570.48,735.0,2.1%,"Dell Technologies Inc. designs, develops, manufactures, markets, sells, and supports various comprehensive and integrated solutions, products, and services in the Americas, Europe, the Middle East, Asia, and internationally. The company operates through Infrastructure Solutions Group (ISG) and Client Solutions Group (C",65,Needs confirmation
