Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
SSRM,SSR Mining Inc.,Basic Materials,Gold,31.92,10.3,2468067,78.78M,0.74,27.25,30.56,25.76,56.6,4.57,6.62B,3.49,6.48,83.7%,N/A,54.6%,52.5%,2.6%,1.4 - Strong Buy,10,0,0,40.0,42.8,48.0,34.1%,"SSR Mining Inc., together with its subsidiaries, engages in the acquisition, exploration, and development of precious metal resource properties in the United States, Türkiye, Canada, and Argentina. The company explores for gold doré, copper, silver, lead, and zinc deposits. It holds interests in the Çöpler located in E",80,Watchlist candidate
CRWV,"CoreWeave, Inc.",Technology,Software - Infrastructure,118.94,11.47,31109324,3.70B,1.07,102.51,109.72,100.2,58.3,7.32,64.89B,10.42,-146.8,111.6%,N/A,69.4%,-6.9%,18.2%,1.9 - Buy,23,11,2,36.0,140.18,303.0,17.9%,"CoreWeave, Inc. operates as a cloud infrastructure technology company in the United States. The company offers CoreWeave Cloud platform that comprises proprietary software and cloud services that deliver the automation and efficiency needed to manage complex artificial intelligence (AI) infrastructure at scale. It also",65,Needs confirmation
LION,Lionsgate Studios Corp.,N/A,N/A,16.2,12.73,11315019,183.30M,3.39,14.12,12.66,9.15,75.1,3.96,4.71B,N/A,40.5,N/A,N/A,N/A,N/A,N/A,1.9 - Buy,7,3,0,9.0,15.0,18.0,-7.4%,N/A,35,Speculative / news-only
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,57.65,10.59,7752248,446.92M,1.19,49.76,49.77,38.84,69.5,5.45,22.87B,10.28,-13.71,260.2%,N/A,-69.9%,-131.1%,17.8%,3.0 - Hold,3,16,4,21.0,43.3,69.0,-24.9%,"Moderna, Inc., a biotechnology company, provides messenger RNA medicines in the United States, Europe, and internationally. The company's respiratory vaccines include spikevax, mNEXSPIKE, mRESVIA, COVID, RSV, seasonal influenza, combination, and pandemic influenza vaccine; latent vaccines comprise cytomegalovirus, epst",35,Speculative / news-only
EOSE,"Eos Energy Enterprises, Inc.",Industrials,Electrical Equipment & Parts,7.03,10.11,30563183,214.71M,1.21,6.47,7.15,10.69,37.8,10.09,2.39B,14.85,-148.19,444.7%,3262.1%,-101.9%,-139.1%,30.8%,N/A,3,7,0,5.0,9.62,18.0,37.0%,"Eos Energy Enterprises, Inc. designs, develops, manufactures, and markets energy storage solutions for utility-scale, microgrid, and commercial and industrial applications in the United States. The company offers Znyth technology battery energy storage system (BESS), which provides operating flexibility to manage incre",35,Speculative / news-only
