Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
BE,Bloom Energy Corporation,Industrials,Electrical Equipment & Parts,235.7,11.59,7689400,1.81B,0.54,223.28,249.69,183.32,55.0,9.84,69.32B,22.27,48.18,165.5%,N/A,31.7%,17.1%,7.9%,2.2 - Buy,15,12,2,97.0,273.51,390.0,16.0%,"Bloom Energy Corporation designs, manufactures, sells, and installs solid oxide fuel cell systems for on-site power generation in the United States and internationally. It offers Bloom Energy Server, an energy server platform to convert fuel, such as natural gas, biogas, hydrogen, or a blend of these fuels, into electr",80,Watchlist candidate
DOCN,"DigitalOcean Holdings, Inc.",Technology,Software - Infrastructure,134.82,11.55,589643,79.50M,0.17,126.54,142.48,90.9,52.1,8.03,15.85B,15.68,72.81,28.6%,-24.5%,57.2%,10.4%,9.2%,1.6 - Buy,13,3,0,140.0,175.21,200.0,30.0%,"DigitalOcean Holdings, Inc., through its subsidiaries, operates an agentic inference cloud platform in North America, Europe, Asia, and internationally. The company provides AI and Digital Native Enterprises build, run, and scale intelligent applications for growing technology companies. It also offers infrastructure-a",80,Watchlist candidate
CIEN,Ciena Corporation,Technology,Communication Equipment,429.92,10.94,1095026,470.77M,0.41,404.0,435.54,360.64,54.6,5.9,60.85B,10.93,44.6,39.5%,2383.3%,43.0%,15.2%,4.1%,2.0 - Buy,13,6,1,270.0,565.71,720.0,31.6%,"Ciena Corporation, a network technology company, provides hardware, software, and services for various network operators in the Americas, Europe, the Middle East, Africa, the Asia Pacific, Japan, and India. It operates through Networking Platforms, Platform Software and Services, Blue Planet Automation Software and Ser",80,Watchlist candidate
EROC,"ERock, Inc.",Industrials,Specialty Industrial Machinery,13.63,21.16,2457038,33.49M,1.05,11.2,N/A,N/A,58.6,8.05,3.73B,19.53,28.94,31.6%,N/A,21.4%,-49.6%,301.4%,1.5 - Strong Buy,8,0,0,16.0,22.62,28.0,66.0%,"ERock, Inc. designs, deploys, sells, operates, and maintains distributed power generation systems designed to provide power for commercial and industrial customers in the United States. Its offerings include the design, installation, and operation of modular power systems, as well as ongoing operations and maintenance ",65,Needs confirmation
CRWV,"CoreWeave, Inc.",Technology,Software - Infrastructure,105.96,17.31,44302865,4.69B,1.56,91.0,91.0,93.22,64.2,6.58,57.81B,9.28,-55.68,111.6%,N/A,69.4%,-6.9%,20.4%,1.8 - Buy,27,9,2,36.0,138.51,303.0,30.7%,"CoreWeave, Inc. operates as a cloud infrastructure technology company in the United States. The company offers CoreWeave Cloud platform that comprises proprietary software and cloud services that deliver the automation and efficiency needed to manage complex artificial intelligence (AI) infrastructure at scale. It also",65,Needs confirmation
SHAZ,SharonAI Holdings Inc.,Technology,Information Technology Services,65.64,16.01,644986,42.34M,0.4,55.22,68.62,N/A,46.8,11.33,2.35B,760.58,-8.64,412.3%,N/A,33.9%,-624.8%,10.5%,1.0 - Strong Buy,4,0,0,109.0,113.75,124.0,73.3%,"SharonAI Holdings Inc. operates as a computing company specializing in accelerated compute platforms, AI infrastructure, and cloud GPU environments. It operates through a hybrid model that combines deployment in data centers with the development of its data center facilities in strategic locations. Its platform integra",65,Needs confirmation
CAVA,"CAVA Group, Inc.",Consumer Cyclical,Restaurants,68.16,12.08,4212296,287.09M,1.24,63.66,72.53,70.72,60.1,4.51,7.94B,6.17,91.08,32.1%,-9.1%,37.7%,6.4%,11.7%,1.9 - Buy,18,8,1,55.0,90.38,110.0,32.6%,"CAVA Group, Inc. owns and operates a chain of restaurants under the CAVA brand in the United States. It also offers dips, spreads, and dressings through grocery stores. In addition, the company provides walk-the-line, online, and mobile ordering platforms. CAVA Group, Inc. was founded in 2006 and is headquartered in Wa",65,Needs confirmation
NBIS,Nebius Group N.V.,Communication Services,Internet Content & Information,230.56,19.32,24785237,5.71B,1.23,205.38,221.26,144.86,52.0,9.35,58.54B,66.68,-69.71,683.9%,N/A,72.1%,-32.1%,27.6%,1.9 - Buy,11,6,1,120.0,250.75,410.0,8.8%,"Nebius Group N.V., a technology company, engages in building full-stack infrastructure to service the global AI industry in the United States, the United Kingdom, and internationally. It offers Nebius builds full-stack infrastructure for AI, including large-scale GPU clusters, cloud platforms, and tools and services fo",50,Needs confirmation
MRX,Marex Group Limited,Financial Services,Capital Markets,68.14,13.69,345433,23.54M,0.41,63.02,62.98,47.06,59.2,4.27,N/A,N/A,11.71,55.1%,55.4%,68.9%,13.1%,4.4%,N/A,7,1,0,36.0,72.38,82.0,6.2%,"Marex Group Limited, a financial services platform company, provides liquidity, market access, and infrastructure services to clients in the commodity and financial markets in the United Kingdom, the United States, and internationally. It operates through Clearing, Agency and Execution, Market Making, and Hedging and I",50,Needs confirmation
NOK,Nokia Oyj,Technology,Communication Equipment,10.39,10.12,47878665,497.70M,0.46,9.58,11.99,9.32,56.3,4.26,N/A,N/A,20.9,8.4%,-97.9%,45.5%,7.9%,0.7%,1.9 - Buy,8,3,0,8.5,15.02,21.0,44.5%,"Nokia Oyj, together with its subsidiaries, provides mobile, fixed, and cloud network solutions in North and Latin America, Greater China, India, Asia Pacific, Europe, the Middle East, and Africa. It operates in four segments: Network Infrastructure, Mobile Networks, Cloud and Network Services, and Nokia Technologies. T",45,Needs confirmation
