Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,271.24,12.12,4080087,1.11B,0.47,258.11,218.98,159.25,54.1,9.39,50.58B,37.88,30.43,157.0%,343.2%,68.0%,35.7%,5.7%,1.3 - Strong Buy,18,1,0,184.0,269.81,350.0,-0.5%,"Credo Technology Group Holding Ltd provides various high-speed connectivity solutions for optical and electrical Ethernet and PCIe applications in the United States, Taiwan, Mainland China, Hong Kong, and other international markets. The company offers ZeroFlap (ZF) active electrical cables and ZF optical transceivers,",65,Needs confirmation
BMNR,"Bitmine Immersion Technologies, Inc.",Financial Services,Capital Markets,15.84,10.31,23619527,374.13M,0.61,14.05,18.42,29.1,48.6,6.7,9.03B,540.37,16.87,627.8%,N/A,66.6%,-592.1%,6.2%,1.0 - Strong Buy,3,0,0,30.3,34.43,40.0,117.4%,"Bitmine Immersion Technologies, Inc. operates as a blockchain technology company primarily in the United States. The company engages in ETH treasury operations; BTC ecosystem services, including consulting and advisory engagements and equipment leasing; facilitation and optimization of third-party power and hosting arr",65,Needs confirmation
AXTI,"AXT, Inc.",Technology,Semiconductor Equipment & Materials,66.9,18.16,7779772,520.47M,0.71,67.68,96.06,42.29,34.8,15.17,4.38B,45.64,85.99,39.1%,N/A,21.3%,-5.9%,12.1%,1.8 - Buy,3,2,0,73.0,96.5,125.0,44.2%,"AXT, Inc. designs, develops, manufactures, and distributes compound and single element semiconductor substrates. The company provides indium phosphide for use in data center connectivity using light/lasers, high-speed data transfer in data centers, 5G communications, fiber optic lasers and detectors, consumer devices, ",50,Needs confirmation
BFLY,"Butterfly Network, Inc.",Healthcare,Medical Devices,8.85,15.17,8349703,73.85M,1.17,8.31,5.52,3.87,68.3,10.05,2.31B,22.49,-95.62,25.0%,N/A,66.1%,-50.8%,12.7%,N/A,5,0,0,5.25,7.06,11.0,-20.2%,"Butterfly Network, Inc. develops, manufactures, and commercializes ultrasound imaging solutions in the United States and internationally. The company offers Butterfly iQ+ and iQ3 ultrasound devices that can perform whole-body imaging on a single handheld probe integrated with the clinical workflow, and accessible on a ",35,Speculative / news-only
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,Semiconductors,73.55,15.05,121576,8.94M,1.19,63.39,57.13,37.86,62.2,4.53,2.56B,0.1,72.82,25.4%,200.0%,12.0%,7.5%,0.3%,N/A,0,0,0,N/A,N/A,N/A,N/A,"ChipMOS TECHNOLOGIES INC. engages in the research and development, manufacture, and sale of integrated circuits, and related assembly and testing services in Taiwan, Japan, the People's Republic of China, and internationally. It operates through five segments: Testing; Assembly; Display Panel Driver Semiconductor Assem",35,Speculative / news-only
SEDG,"SolarEdge Technologies, Inc.",Technology,Solar,57.94,10.61,1321916,76.59M,0.34,54.19,55.48,41.54,46.3,9.11,3.52B,2.76,36.99,41.5%,N/A,18.3%,-15.3%,19.6%,3.2 - Hold,1,21,4,26.0,43.38,100.0,-25.1%,"SolarEdge Technologies, Inc., together with its subsidiaries, operates as an energy technology company in the United States, Europe, and internationally. The company offers power optimizers and DC-to-AC inverters; Storage Solutions, such as home battery 400V and CSS-OD solution; EV chargers for residential and commerci",35,Speculative / news-only
IREN,IREN Limited,Financial Services,Capital Markets,44.81,15.43,30561633,1.37B,0.66,45.48,54.41,49.15,27.2,9.08,16.01B,21.13,-47.67,-0.0%,N/A,68.4%,-64.5%,18.6%,1.8 - Buy,11,4,1,41.0,80.93,126.0,80.6%,"IREN Limited operates in the vertically integrated data center business in Australia and Canada. The company owns and operates computing hardware, as well as electrical infrastructure and data centers. It also mines Bitcoin, a scarce digital asset that is created and transmitted through the operation of a peer-to-peer ",30,Speculative / news-only
PENG,"Penguin Solutions, Inc.",Technology,Information Technology Services,69.11,12.43,1478386,102.17M,0.5,67.14,53.18,29.11,54.3,11.06,3.63B,2.69,24.6,-6.2%,544.4%,28.3%,7.8%,28.7%,1.6 - Buy,6,1,0,27.0,50.14,66.0,-27.4%,"Penguin Solutions, Inc. designs, builds, deploys and manages enterprise solutions worldwide. The company operates through three segments: Advanced Computing, Integrated Memory, and Optimized LED. It offers hardware, software, and services focusing on technical computing for core and cloud environments through high-perf",30,Speculative / news-only
CIFR,Cipher Digital Inc.,Technology,Information Technology Services,22.28,11.17,12497040,278.43M,0.48,24.04,22.49,17.98,43.3,10.84,9.12B,43.44,33.26,-28.8%,N/A,12.4%,-249.4%,16.3%,1.3 - Strong Buy,16,0,0,23.0,32.62,69.0,46.4%,"Cipher Digital Inc., together with its subsidiaries, develops and operates industrial-scale data centers for bitcoin mining and high-performance compute (HPC) hosting in the United States. It develops HPC data center facilities across various sites for hyperscaler tenants; operates power at one bitcoin mining data cent",30,Speculative / news-only
WULF,TeraWulf Inc.,Financial Services,Capital Markets,23.42,10.58,44532665,1.04B,1.45,24.67,24.32,16.84,40.9,8.98,11.61B,69.07,126.62,-1.1%,N/A,64.0%,-366.2%,25.8%,1.3 - Strong Buy,16,0,0,27.0,36.32,66.5,55.1%,"TeraWulf Inc., together with its subsidiaries, owns, develops, operates digital infrastructure in the United States. It also develops and operates bitcoin mining facilities for bitcoin mining and high-performance computing workloads, leveraging clean, cost-effective, and reliable energy. The company was founded in 2021",30,Speculative / news-only
CHRN,ChronoScale Holdings Corporation,Technology,Information Technology Services,19.49,18.19,295919,5.77M,0.98,20.7,17.24,9.91,52.6,15.61,2.83B,33.54,N/A,N/A,N/A,-8.5%,-39.4%,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,"ChronoScale Holdings Corporation designs and develops a compute platform to support artificial intelligence (AI) workloads. The company focuses on large-scale deployments and provides dedicated compute environments engineered for performance, consistency, and long-term operational execution. The company was formerly kn",15,Speculative / news-only
HIMX,"Himax Technologies, Inc.",Technology,Semiconductors,14.63,11.25,1825285,26.70M,0.42,14.64,17.16,10.67,36.9,8.01,2.55B,3.13,14.63,-7.5%,-59.8%,30.5%,5.1%,6.8%,N/A,2,1,0,17.4,23.7,30.0,62.0%,"Himax Technologies, Inc., a fabless semiconductor company, provides display imaging processing technologies in China, Taiwan, Korea, Japan, the United States, Mexico, and internationally. It operates in two segments, Driver IC and Non-Driver Products. The company provides display driver integrated circuits (ICs) and ti",15,Speculative / news-only
DSC,DSC Holdings Ltd.,Technology,Software - Infrastructure,8.1,16.21,58790,476193.12,0.17,N/A,N/A,N/A,N/A,N/A,8.11B,11.98,N/A,-26.8%,N/A,38.5%,-20.0%,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,"DSC Holdings Ltd. develops an artificial intelligence application infrastructure for the used car industry in China. The company develops DaFengChe, a platform for digitalizing used car dealers' day -to-day operations, including inventory management, CRM, enterprise resource planning, inventory sourcing and management,",0,Speculative / news-only
