Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
DOCN,"DigitalOcean Holdings, Inc.",Technology,Software - Infrastructure,146.49,11.51,2549106,373.42M,0.61,143.01,151.07,79.63,34.2,8.66,15.29B,16.12,83.36,22.4%,-61.7%,58.5%,14.2%,15.0%,N/A,11,4,0,135.0,178.77,200.0,22.0%,"DigitalOcean Holdings, Inc., through its subsidiaries, operates an agentic inference cloud platform in North America, Europe, Asia, and internationally. The company provides AI and Digital Native Enterprises build, run, and scale intelligent applications for growing technology companies. It also offers infrastructure-a",50,Needs confirmation
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,42.52,13.72,1431579,60.87M,1.28,37.98,30.39,31.77,90.7,3.66,2.53B,38.29,-9.06,137.7%,N/A,0.0%,-530.3%,11.7%,N/A,7,3,0,28.0,40.75,59.0,-4.2%,"Agios Pharmaceuticals, Inc., a biopharmaceutical company, discovers and develops medicines in the field of cellular metabolism in the United States. Its lead product includes PYRUKYND (mitapivat), an activator of wild-type and mutant pyruvate kinase (PK), enzymes used for the treatment of hemolytic anemias in adults wi",20,Speculative / news-only
MAAS,Maase Inc.,Financial Services,Asset Management,17.4,13.65,232420,4.04M,0.99,14.89,12.27,6.81,55.0,20.42,7.69B,1162.04,N/A,N/A,N/A,25.6%,-599.1%,0.1%,N/A,0,0,0,N/A,N/A,N/A,N/A,"Maase Inc. operates as an integrated provider and operator of an artificial intelligence (AI) -centric full-scene digital systems. The company focuses on areas of flexible energy deployment and intelligent commercial network operation, and provide closed-loop solutions from computing infrastructure, smart hardware an",15,Speculative / news-only
