Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
BMNR,"Bitmine Immersion Technologies, Inc.",Financial Services,Capital Markets,16.27,11.4,21337433,347.27M,0.57,15.01,17.63,27.85,56.9,5.88,9.27B,554.51,17.31,627.8%,N/A,66.6%,-592.1%,8.1%,1.0 - Strong Buy,3,0,0,30.3,34.43,40.0,111.6%,"Bitmine Immersion Technologies, Inc. operates as a blockchain technology company primarily in the United States. The company engages in ETH treasury operations; BTC ecosystem services, including consulting and advisory engagements and equipment leasing; facilitation and optimization of third-party power and hosting arr",65,Needs confirmation
TGB,Trekor Metals Limited,Basic Materials,Copper,7.76,10.61,2003666,15.56M,0.4,7.0,7.08,6.33,64.0,5.22,2.84B,3.68,10.23,70.4%,N/A,42.3%,23.4%,N/A,1.3 - Strong Buy,7,0,0,7.55,7.55,7.55,-2.8%,"Trekor Metals Limited, a mining company, acquires and develops mineral properties. It explores for copper, molybdenum, gold, niobium, and silver deposits. The company's principal assets consist of 100% owned the Gibraltar mine located in south-central British Columbia; and the Florence Copper project in Arizona. The co",65,Needs confirmation
TSEM,Tower Semiconductor Ltd.,Technology,Semiconductors,263.03,14.52,2331247,613.19M,1.08,226.08,251.72,157.78,43.5,6.6,29.73B,18.33,45.84,15.5%,62.9%,24.8%,15.6%,2.3%,N/A,4,1,0,277.0,313.83,335.0,19.3%,"Tower Semiconductor Ltd., an independent semiconductor foundry, provides technology, development, and process platforms for integrated circuits in the United States, Japan, rest of Asia, and Europe. The company provides customizable process technologies, including SiGe, SiPho, mixed signal CMOS, RF CMOS, CMOS image sen",50,Needs confirmation
AXTI,"AXT, Inc.",Technology,Semiconductor Equipment & Materials,56.05,11.06,4223034,236.72M,0.4,58.1,94.07,43.86,32.4,13.63,3.67B,38.3,72.16,39.1%,N/A,21.3%,-5.9%,18.0%,1.8 - Buy,3,2,0,73.0,96.5,125.0,72.2%,"AXT, Inc. designs, develops, manufactures, and distributes compound and single element semiconductor substrates. The company provides indium phosphide for use in data center connectivity using light/lasers, high-speed data transfer in data centers, 5G communications, fiber optic lasers and detectors, consumer devices, ",50,Needs confirmation
NTSK,"Netskope, Inc.",Technology,Software - Infrastructure,14.21,11.02,3411346,48.48M,0.62,12.46,10.86,14.64,92.2,5.76,5.74B,7.62,998.59,27.8%,N/A,69.3%,-53.9%,14.6%,1.3 - Strong Buy,18,0,0,13.0,16.0,28.0,12.6%,"Netskope, Inc., a cybersecurity company, provides security, networking, and analytics solutions to largest enterprises to mid-sized companies worldwide. The company develops Netskope One platform, a cloud-native platform for securing and accelerating the digital interactions of enterprises. Its platform offers security",50,Needs confirmation
YSS,"York Space Systems, Inc.",Industrials,Aerospace & Defense,21.3,11.34,341443,7.27M,0.16,21.66,28.37,N/A,28.6,10.98,2.80B,7.06,39.91,9.5%,N/A,18.4%,-89.9%,11.5%,1.7 - Buy,8,2,0,26.0,34.6,45.0,62.4%,"York Space Systems, Inc. operates as a space and defense prime providing a comprehensive suite of mission-critical solutions for national security, government and commercial customers in the United States. It provides space and defense primes with proprietary hardware and software capabilities designed to address custo",30,Speculative / news-only
CLSK,"CleanSpark, Inc.",Financial Services,Capital Markets,13.74,11.16,36421872,500.44M,1.71,12.86,15.21,13.3,32.6,9.39,3.53B,4.76,-18.95,-24.9%,N/A,50.7%,-246.3%,42.9%,1.3 - Strong Buy,13,0,0,16.0,21.12,27.0,53.7%,"CleanSpark, Inc. operates as a bitcoin mining company in the Americas. The company owns, leases, and operates data centers and power assets. Its infrastructure supports Bitcoin, a digital commodity. The company was formerly known as Stratean Inc. and changed its name to CleanSpark, Inc. in November 2016. CleanSpark, In",30,Speculative / news-only
OKTA,"Okta, Inc.",Technology,Software - Infrastructure,153.76,10.2,1822081,280.16M,0.47,145.75,111.67,90.76,79.8,5.14,26.72B,8.92,35.93,11.2%,21.2%,77.4%,7.3%,5.8%,1.8 - Buy,32,11,1,75.0,122.95,175.0,-20.0%,"Okta, Inc. operates as an identity partner in the United States and internationally. It offers Single Sign-on to secure access to cloud and on-premises applications from any device; Adaptive MFA for a risk-based layer of security for an organization's cloud, mobile, and web applications; API Access Management, which en",15,Speculative / news-only
SKHY,SK hynix Inc.,N/A,N/A,178.1,16.9,26357136,4.69B,0.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,0,Speculative / news-only
CHRN,ChronoScale Holdings Corporation,Technology,Information Technology Services,22.04,11.76,110069,2.43M,0.34,19.16,18.23,10.37,40.9,12.54,3.20B,37.93,N/A,N/A,N/A,-8.5%,-39.4%,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,"ChronoScale Holdings Corporation designs and develops a compute platform to support artificial intelligence (AI) workloads. The company focuses on large-scale deployments and provides dedicated compute environments engineered for performance, consistency, and long-term operational execution. The company was formerly kn",0,Speculative / news-only
