Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
AVAV,"AeroVironment, Inc.",Industrials,Aerospace & Defense,190.89,10.7,4117679,786.02M,2.74,154.16,175.68,254.33,53.3,5.65,9.66B,4.89,41.29,133.3%,N/A,25.3%,2.8%,12.6%,1.6 - Buy,16,3,0,166.0,247.35,361.0,29.6%,"AeroVironment, Inc. designs, develops, produces, delivers, and supports a portfolio of robotic systems and related services for government agencies and businesses in the United States and internationally. It operates in two segments, Autonomous Systems; and Space, Cyber and Directed Energy. The company provides uncrewe",85,Watchlist candidate
PLBL,Polibeli Group Ltd,Consumer Cyclical,Department Stores,10.26,18.2,846510,8.69M,10.11,8.43,7.19,8.61,71.2,10.93,3.76B,142.29,N/A,61.1%,N/A,7.3%,-24.7%,0.7%,N/A,0,0,0,N/A,N/A,N/A,N/A,"Polibeli Group Ltd provides digital supply chain and distribution-sales services in Japan, Indonesia, Hongkong, Europe, and internationally. It offers solutions, including products procurement, channel distribution, warehousing and logistics services, brand operations, and digital marketing services to upstream and dow",55,Needs confirmation
NKTR,Nektar Therapeutics,Healthcare,Biotechnology,71.04,10.33,1094939,77.78M,0.97,65.98,70.51,61.75,67.5,5.07,2.40B,43.14,-5.65,3.8%,N/A,100.0%,-352.3%,16.1%,1.3 - Strong Buy,9,1,0,80.0,153.25,192.0,115.7%,"Nektar Therapeutics, a biopharmaceutical company, focuses on discovering and developing medicines in the field of immunotherapy in the United States and internationally. It develops rezpegaldesleukin, which is in Phase 2b to treat underlying immune system imbalance in people with autoimmune disorders and inflammatory d",45,Needs confirmation
GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,132.57,12.92,4432544,587.62M,2.51,116.42,103.95,120.38,87.0,3.15,18.44B,0.75,15.79,6.8%,-2.1%,37.5%,5.8%,7.2%,2.1 - Buy,5,5,0,124.0,134.0,145.0,1.1%,"Genuine Parts Company distributes automotive and industrial replacement parts. The company operates in three segments: North America Automotive Parts Group, International Automotive Parts Group, and Industrial Parts Group. It distributes automotive replacement parts, accessories, tools, equipment, and related solutions",35,Speculative / news-only
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,79.76,10.01,13227210,1.06B,1.76,67.55,52.65,41.12,86.0,6.84,31.65B,14.22,-19.28,260.2%,N/A,-69.9%,-131.1%,18.1%,3.0 - Hold,3,17,4,22.0,45.85,79.0,-42.5%,"Moderna, Inc., a biotechnology company, provides messenger RNA medicines in the United States, Europe, and internationally. The company's respiratory vaccines include spikevax, mNEXSPIKE, mRESVIA, COVID, RSV, seasonal influenza, combination, and pandemic influenza vaccine; latent vaccines comprise cytomegalovirus, epst",20,Speculative / news-only
SLBT,SL Science Holding Limited,Healthcare,Biotechnology,5.99,34.61,1147096,6.87M,1.6,4.28,7.85,9.43,39.0,32.69,3.36B,N/A,N/A,N/A,N/A,0.0%,0.0%,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,"SL Science Holding Limited manufactures cosmetic skin care and scalp care products. The company's products include SL bio's milk-derived exosome essence, SL bio's tangerine-derived extract, and the MilkExo concentrate series. It also offers research services in armed T-cells, gamma delta T- cells, citrus reticulata (ta",0,Speculative / news-only
SLS,"SELLAS Life Sciences Group, Inc.",Healthcare,Biotechnology,14.98,12.89,12072478,180.85M,1.38,12.45,7.79,4.36,79.7,8.44,2.95B,N/A,-99.87,N/A,N/A,0.0%,0.0%,32.3%,N/A,2,0,0,10.0,10.0,10.0,-33.2%,"SELLAS Life Sciences Group, Inc., a late-stage clinical biopharmaceutical company, focuses on the development of novel therapeutics for various cancer indications in the United States. The company's lead product candidate is galinpepimut-S (GPS), a peptide immunotherapy directed against the Wilms tumor 1, antigen; and ",0,Speculative / news-only
CAR,"Avis Budget Group, Inc.",Industrials,Rental & Leasing Services,163.44,11.23,539323,88.15M,0.2,163.85,176.56,157.95,35.6,5.65,5.77B,0.49,19.6,4.1%,N/A,27.3%,1.8%,61.6%,3.4 - Hold,0,6,2,85.0,134.14,170.0,-17.9%,"Avis Budget Group, Inc., together with its subsidiaries, provides car and truck rentals, car sharing, and ancillary products and services to businesses and consumers in the Americas, Europe, the Middle East and Africa, Asia, and Australasia. The company operates the Avis brand, which offers vehicle rental and other mob",0,Speculative / news-only
