Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
BSBR,Banco Santander (Brasil) S.A.,Financial Services,Banks - Regional,5.67,12.18,7120658,40.34M,4.62,5.36,5.32,5.92,58.9,2.02,21.21B,0.44,6.55,28.8%,50.1%,0.0%,33.2%,N/A,N/A,2,2,1,5.0,6.78,8.1,19.7%,"Banco Santander (Brasil) S.A., together with its subsidiaries, provides various banking products and services to individuals, small and medium enterprises, and corporate customers in Brazil and internationally. It operates in two segments, Commercial Banking and Global Wholesale Banking. The company offers payment and ",85,Watchlist candidate
AXTI,"AXT, Inc.",Technology,Semiconductor Equipment & Materials,57.94,23.43,18360758,1.06B,1.92,48.2,77.47,46.73,55.2,11.36,3.79B,30.2,74.48,164.8%,N/A,32.2%,21.9%,17.6%,1.8 - Buy,3,2,0,52.0,91.25,125.0,57.5%,"AXT, Inc. designs, develops, manufactures, and distributes compound and single element semiconductor substrates. The company provides indium phosphide for use in data center connectivity using light/lasers, high-speed data transfer in data centers, 5G communications, fiber optic lasers and detectors, consumer devices, ",80,Watchlist candidate
SPXC,"SPX Technologies, Inc.",Industrials,Building Products & Equipment,229.03,14.92,329169,75.39M,0.44,212.29,223.49,214.07,57.6,3.98,11.47B,4.63,24.52,22.9%,41.0%,40.3%,17.2%,2.9%,1.3 - Strong Buy,11,1,0,225.0,272.92,310.0,19.2%,"SPX Technologies, Inc. engages in the supply of engineered solutions serving the heating, ventilation, and cooling (HVAC); and detection and measurement markets in the United States, Canada, China, the United Kingdom, and internationally. The company operates in two segments, HVAC and Detection and Measurement. The HVA",80,Watchlist candidate
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,266.7,13.25,69505277,18.54B,1.44,237.72,246.53,234.99,61.9,2.34,2868.60B,3.7,26.76,19.6%,242.3%,50.8%,13.7%,1.1%,1.3 - Strong Buy,61,3,0,207.0,313.07,370.0,17.4%,"Amazon.com, Inc. engages in the retail sale of consumer products, advertising, and subscriptions service through online and physical stores in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). It also manufactures and sells elect",80,Watchlist candidate
IESC,"IES Holdings, Inc.",Industrials,Engineering & Construction,753.76,31.88,234786,176.97M,0.92,616.53,673.68,520.11,64.0,5.78,15.02B,4.13,N/A,16.8%,55.4%,26.1%,11.5%,8.7%,N/A,0,1,0,700.0,700.0,700.0,-7.1%,"IES Holdings, Inc. designs and installs integrated electrical and technology systems and provides infrastructure products and services in the United States. The Communications segment designs, builds, and maintains communications infrastructure within data centers for co-location and managed hosting customers; corporat",50,Needs confirmation
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,82.57,10.77,5557617,458.89M,0.98,74.24,73.12,67.74,60.5,3.41,31.86B,6.41,26.54,13.1%,43.0%,62.5%,24.3%,5.6%,1.3 - Strong Buy,25,3,0,65.0,86.16,112.0,4.3%,"DexCom, Inc., a medical device company, focuses on the design, development, and commercialization of continuous glucose monitoring (CGM) systems for the management of diabetes and metabolic health in the United States and internationally. The company offers Dexcom G7 and G7 15 Day, an integrated continuous glucose moni",45,Needs confirmation
NWL,Newell Brands Inc.,Consumer Defensive,Household & Personal Products,5.81,13.0,28133428,163.41M,2.64,5.26,4.82,4.24,63.5,6.33,2.47B,0.34,8.69,-1.1%,N/A,34.0%,2.7%,22.7%,2.8 - Hold,3,5,1,3.5,5.59,9.0,-3.7%,"Newell Brands Inc. engages in the design, manufacture, sourcing, and distribution of consumer and commercial products worldwide. The company operates in three segments: Home and Commercial Solutions, Learning and Development, and Outdoor and Recreation. The Commercial Solutions segment provides commercial cleaning and ",35,Speculative / news-only
CDNA,"CareDx, Inc.",Healthcare,Diagnostics & Research,42.88,12.53,864888,37.09M,0.96,37.63,28.32,20.95,79.0,4.79,2.22B,4.84,37.82,52.2%,N/A,70.6%,0.2%,12.2%,2.1 - Buy,3,4,0,21.0,35.4,50.0,-17.4%,"CareDx, Inc. provides solutions for improving outcomes for transplant patients and advancing organ health in the United States and internationally. The company provides AlloSure Kidney, a donor-derived cell-free DNA (dd-cfDNA) solution for kidney transplant patients; AlloMap Heart, a gene expression profiling solution ",35,Speculative / news-only
DLB,"Dolby Laboratories, Inc.",Industrials,Specialty Business Services,57.91,11.84,421993,24.44M,0.45,51.77,52.36,60.95,75.7,2.63,5.48B,4.05,12.68,-3.3%,-37.5%,87.6%,12.5%,15.0%,N/A,3,1,0,60.0,78.33,90.0,35.3%,"Dolby Laboratories, Inc. engages in the design and manufacture of audio, imaging, accessibility, and other hardware and software solutions for television, broadcast, and live entertainment industries in the United States and internationally. The company develops and licenses its audio technologies, such as AAC, HE-AAC,",30,Speculative / news-only
MSA,MSA Safety Incorporated,Industrials,Security & Protection Services,194.65,11.64,98570,19.19M,0.31,177.59,168.53,171.02,78.8,2.45,7.51B,3.92,20.06,10.0%,21.2%,46.8%,22.4%,3.6%,2.1 - Buy,3,4,0,190.0,205.71,225.0,5.7%,"MSA Safety Incorporated develops, manufactures, and supplies safety products and technology solutions that protect workers and facility infrastructures worldwide. The company offers breathing apparatus products, including self-contained breathing apparatus; firefighter helmets and protective apparel; and fixed gas and ",30,Speculative / news-only
