Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
AVAV,"AeroVironment, Inc.",Industrials,Aerospace & Defense,193.16,12.02,2787715,538.49M,1.91,154.45,175.72,254.34,54.2,5.58,9.78B,4.95,41.79,133.3%,N/A,25.3%,2.8%,12.6%,1.6 - Buy,16,3,0,166.0,247.35,361.0,28.0%,"AeroVironment, Inc., a defense technology provider, designs, develops, produces, delivers, and supports a portfolio of robotic systems and related services for government agencies and businesses in the United States and internationally. The company operates in two segments, Autonomous Systems; and Space, Cyber and Dire",65,Needs confirmation
PLBL,Polibeli Group Ltd,Consumer Cyclical,Department Stores,10.73,23.63,573740,6.16M,8.06,8.48,7.2,8.61,72.5,10.45,3.93B,148.87,N/A,61.1%,N/A,7.3%,-24.7%,0.7%,N/A,0,0,0,N/A,N/A,N/A,N/A,"Polibeli Group Ltd provides digital supply chain and distribution-sales services in Japan, Indonesia, Hongkong, Europe, and internationally. It offers solutions, including products procurement, channel distribution, warehousing and logistics services, brand operations, and digital marketing services to upstream and dow",55,Needs confirmation
ABVX,ABIVAX Société Anonyme,Healthcare,Biotechnology,146.15,10.26,2375814,347.23M,1.2,111.12,112.36,112.03,78.3,5.29,11.66B,2369.6,-44.78,35.2%,N/A,100.0%,-4183.7%,6.2%,1.4 - Strong Buy,11,0,0,132.0,160.09,187.0,9.5%,"ABIVAX Société Anonyme, a clinical-stage biotechnology company, develops therapeutics that harness the body's natural regulatory mechanisms to stabilize the immune response in patients with chronic inflammatory diseases. Its lead drug candidate includes obefazimod, which is in Phase 3 clinical development for the treat",35,Speculative / news-only
FIZZ,National Beverage Corp.,Consumer Defensive,Beverages - Non-Alcoholic,34.72,12.0,570149,19.80M,1.72,32.84,34.98,34.77,41.1,4.57,3.25B,2.72,16.44,-0.9%,4.8%,37.4%,19.3%,14.0%,5.0 - Sell,0,0,1,33.0,33.0,33.0,-5.0%,"National Beverage Corp., through its subsidiaries, develops, produces, markets, and sells a portfolio of sparkling waters, juices, energy drinks, and carbonated soft drinks in the United States and Canada. The company's Power+ brand portfolio offers sparkling water products under the LaCroix brands; non-carbonated wate",15,Speculative / news-only
RIVN,"Rivian Automotive, Inc.",Consumer Cyclical,Auto Manufacturers,18.97,10.42,45325076,859.82M,1.53,16.3,15.61,15.8,68.8,5.21,25.51B,4.62,-10.05,11.4%,N/A,1.0%,-63.8%,14.6%,2.6 - Hold,11,10,5,9.0,18.19,25.0,-4.1%,"Rivian Automotive, Inc., together with its subsidiaries, develops, manufactures, and sells category-defining electric vehicles. It operates through two segments, Automotive, and Software and Services. The company offers consumer vehicles, including a two-row, five-passenger pickup truck under the R1T brand; and a three",15,Speculative / news-only
