Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
NVCR,NovoCure Limited,Healthcare,Medical Devices,19.32,24.08,3950245,76.32M,2.31,16.34,16.72,13.72,62.7,4.88,2.24B,3.32,-18.54,12.3%,N/A,75.4%,-38.7%,13.9%,2.0 - Buy,4,3,0,17.0,24.57,46.0,27.2%,"NovoCure Limited, an oncology company, engages in the development, manufacture, and commercialization of tumor treating fields (TTFields) devices for the treatment of solid tumor cancers in the United States, Germany, France, Japan, Greater China, and internationally. Its TTFields devices include Optune Gio, Optune Lua",65,Needs confirmation
EQPT,EquipmentShare.com Inc.,Industrials,Rental & Leasing Services,19.13,10.32,3006766,57.52M,1.13,17.35,20.41,N/A,49.8,7.39,4.83B,1.04,17.99,38.1%,N/A,35.8%,0.1%,14.9%,1.8 - Buy,7,4,0,19.0,33.8,55.0,76.7%,"EquipmentShare.com Inc. provides integrated, full-service construction solutions across equipment rental, sales, and technology. It offers rental of aerial work platforms, electric and hydraulic power tools, vehicles, trailers, attachments, agriculture and landscaping equipment, climate control, compaction, compressed ",65,Needs confirmation
MEDP,"Medpace Holdings, Inc.",Healthcare,Diagnostics & Research,597.09,13.06,556815,332.47M,1.63,540.73,484.47,516.19,62.1,3.53,17.05B,6.13,31.79,17.2%,37.1%,72.4%,20.8%,9.2%,2.9 - Hold,2,10,1,329.0,472.33,586.0,-20.9%,"Medpace Holdings, Inc. provides clinical research-based drug and medical device development services in North America, Europe, Asia, South America, Africa, and Australia. The company offers a suite of services supporting the clinical development process from Phase I to Phase IV in various therapeutic areas. It provides",50,Needs confirmation
KALU,Kaiser Aluminum Corporation,Basic Materials,Aluminum,181.09,10.21,187096,33.88M,0.69,163.6,176.17,133.94,54.2,3.58,2.96B,0.72,17.17,52.7%,305.7%,14.5%,10.6%,6.7%,3.3 - Hold,1,1,2,142.0,159.67,179.0,-11.8%,"Kaiser Aluminum Corporation, together with its subsidiaries, manufactures and sells semi-fabricated specialty aluminum mill products. It offers flat-rolled plate, sheet, and coil; extruded rod, bar, hollows, and shapes; drawn rod, bar, pipe, tube, and wire; and cast aluminum products. The company also offers aero/HS pr",50,Needs confirmation
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,1157.2,11.8,451698,522.70M,0.88,1056.08,1044.2,900.03,58.1,3.15,72.49B,4.31,21.21,11.8%,25.5%,38.5%,25.9%,2.7%,1.7 - Buy,17,4,1,715.0,1164.14,1550.0,0.6%,"United Rentals, Inc., through its subsidiaries, operates as an equipment rental company in the United States, Canada, Europe, Australia, and New Zealand. It operates through two segments, General Rentals and Specialty. The General Rentals segment rents general construction and industrial equipment, such as backhoes, sk",45,Needs confirmation
ALLE,Allegion plc,Industrials,Security & Protection Services,155.88,11.38,1367223,213.12M,1.16,140.04,134.01,152.57,72.1,2.39,13.40B,3.22,16.27,9.7%,-7.0%,45.0%,18.9%,5.4%,2.2 - Buy,5,6,0,142.0,165.18,189.0,6.0%,"Allegion plc engages in the provision of security products and solutions worldwide. It is operating through two segments: Allegion Americas and Allegion International. The company offers door controls, door control system, and exit devices; doors, glass and door systems, and accessories; electronic security products an",45,Needs confirmation
