Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
KNSA,"Kiniksa Pharmaceuticals International, plc",Healthcare,Drug Manufacturers - Specialty & Generic,78.81,24.04,1427876,112.53M,1.95,65.09,57.39,47.37,73.4,3.86,6.06B,8.04,46.29,55.5%,145.5%,54.7%,13.7%,11.9%,1.1 - Strong Buy,8,0,0,60.0,70.0,78.0,-11.2%,"Kiniksa Pharmaceuticals International, plc, a biopharmaceutical company, develops and commercializes medical therapies in the United States, the United Kingdom, and internationally. The company offers ARCALYST, an interleukin-1alpha and 1beta cytokine trap for the treatment of recurrent pericarditis, a chronic autoinfl",65,Needs confirmation
ITRI,"Itron, Inc.",Technology,Scientific & Technical Instruments,102.41,20.79,1884625,193.00M,2.74,86.63,83.31,94.98,83.6,3.04,4.54B,1.93,15.62,-3.3%,-16.9%,38.8%,11.5%,19.6%,1.8 - Buy,10,2,1,112.0,126.7,145.0,23.7%,"Itron, Inc., a technology, solutions, and service company, provides end-to-end solutions that help manage energy, water, and smart city operations worldwide. It operates in four segments: Device Solutions, Networked Solutions, Outcomes, and Resiliency Solution. The Device Solutions segment offers hardware products that",65,Needs confirmation
RGEN,Repligen Corporation,Healthcare,Medical Instruments & Supplies,151.03,15.24,1217556,183.89M,1.0,140.18,131.59,139.87,62.4,4.72,8.52B,11.16,59.21,14.8%,47.9%,53.1%,8.9%,10.3%,1.5 - Strong Buy,19,3,0,142.0,178.05,220.0,17.9%,"Repligen Corporation, a life sciences company, develops and commercializes bioprocessing technologies and systems in North America, Europe, the Asia Pacific, and internationally. The company's products include hollow fiber consumables, KRM chromatography system, resins for new modalities, PATsmart MAVERICK and PATsmart",45,Needs confirmation
TRU,TransUnion,Financial Services,Financial Data & Stock Exchanges,85.47,10.66,2653049,226.76M,1.12,77.92,72.16,76.41,66.3,3.76,16.48B,3.49,15.29,13.7%,172.0%,58.8%,19.7%,5.6%,1.8 - Buy,16,6,0,72.0,89.95,108.0,5.2%,"TransUnion operates as a global consumer credit reporting agency that provides risk and information solutions. The company operates in two segments, U.S. Markets and International. The U.S. Markets segment provides credit reporting, credit marketing, analytics and consulting, identity verification, and authentication a",45,Needs confirmation
IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,240.09,12.6,2407613,578.03M,1.49,209.87,189.79,196.86,77.9,2.66,40.07B,2.41,16.94,8.4%,15.0%,33.0%,13.6%,3.6%,1.5 - Strong Buy,19,3,0,200.0,232.0,284.0,-3.4%,"IQVIA Holdings Inc. provides clinical research services, commercial insights, and healthcare intelligence to the life sciences and healthcare industries in the Americas, Europe, Africa, and the Asia-Pacific. It operates through three segments: Technology & Analytics Solutions, Research & Development Solutions, and Cont",30,Speculative / news-only
