Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
VIAV,Viavi Solutions Inc.,Technology,Communication Equipment,52.31,10.9,4057879,212.27M,0.56,50.36,48.93,27.77,56.8,8.8,12.90B,9.45,40.86,42.8%,-68.5%,60.7%,12.2%,7.1%,1.4 - Strong Buy,7,1,0,60.0,64.43,70.0,23.2%,"Viavi Solutions Inc. provides network test, monitoring, and assurance solutions for telecommunications, cloud, enterprises, first responders, military, aerospace, and critical infrastructures in the Americas, the Asia-Pacific, Europe, the Middle East, and Africa. It operates in two segments, Network and Service Enablem",80,Watchlist candidate
BWIN,"The Baldwin Insurance Group, Inc.",Financial Services,Insurance Brokers,24.46,20.87,2799424,68.49M,1.81,19.36,21.14,23.58,65.7,5.09,2.39B,1.47,9.77,28.7%,-90.0%,30.3%,-17.5%,14.4%,1.9 - Buy,6,4,0,23.0,29.0,37.0,18.5%,"The Baldwin Insurance Group, Inc. operates as an independent insurance distribution firm that delivers insurance and risk management solutions in the United States. The company operates through three segments: Insurance Advisory Solutions; Underwriting, Capacity & Technology Solutions; and Mainstreet Insurance Solution",65,Needs confirmation
COHR,Coherent Corp.,Technology,Scientific & Technical Instruments,436.5,12.05,5394646,2.35B,0.86,388.12,360.28,225.64,60.6,9.15,85.40B,12.93,53.38,20.5%,1118.3%,37.0%,13.6%,4.7%,1.6 - Buy,17,4,0,230.0,384.45,465.0,-11.9%,"Coherent Corp. develops, manufactures, and markets engineered materials, optoelectronic components and devices, and laser systems for the use in the industrial, communications, electronics, and instrumentation markets worldwide. It operates through three segments: Networking, Materials, and Lasers. The Networking segme",65,Needs confirmation
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,303.97,11.82,6770223,2.06B,0.88,259.62,201.25,154.5,69.8,8.9,56.69B,42.46,34.36,157.0%,343.2%,68.0%,35.7%,6.3%,1.3 - Strong Buy,17,1,0,184.0,256.3,300.0,-15.7%,"Credo Technology Group Holding Ltd provides various high-speed connectivity solutions for optical and electrical Ethernet and PCIe applications in the United States, Taiwan, Mainland China, Hong Kong, and other international markets. The company offers ZeroFlap (ZF) active electrical cables and ZF optical transceivers,",65,Needs confirmation
TE,T1 Energy Inc.,Industrials,Electrical Equipment & Parts,10.75,14.97,33514372,360.28M,1.12,8.92,7.27,5.78,51.7,12.3,3.00B,3.41,28.29,232.3%,N/A,7.6%,-12.7%,20.0%,1.4 - Strong Buy,6,1,0,8.0,10.07,16.0,-6.3%,"T1 Energy Inc. provides energy solutions for solar modules and cells in the United States, Norway and internationally. It manufactures and sells photovoltaic solar modules. The company was formerly known as FREYR Battery, Inc. and changed its name to T1 Energy Inc. in February 2025. T1 Energy Inc. is headquartered in A",50,Needs confirmation
KEEL,Keel Infrastructure Corp.,Technology,Information Technology Services,6.96,10.73,83508297,581.64M,2.02,5.9,4.36,3.19,61.6,8.53,4.21B,19.24,-107.15,-22.4%,N/A,-20.8%,-143.7%,12.4%,1.3 - Strong Buy,8,1,0,3.0,5.75,8.0,-17.4%,"Keel Infrastructure Corp. operates digital and energy infrastructure with focus on high-performance computing (HPC) and artificial intelligence (AI) workloads in North America, Canada, and the United States. It primarily owns and operates data centers housing computers to validate transactions on the bitcoin blockchain",50,Needs confirmation
SMTC,Semtech Corporation,Technology,Semiconductors,174.51,10.29,1676119,292.50M,0.51,162.92,132.96,89.43,60.0,7.2,16.26B,14.91,44.91,15.9%,22.7%,52.4%,9.3%,7.9%,N/A,12,2,0,175.0,204.83,230.0,17.4%,"Semtech Corporation provides semiconductor, Internet of Things systems, and cloud connectivity service solutions in the Asia- Pacific, North America, and Europe. The company operates in three segments: Signal Integrity, Analog Mixed Signal and Wireless, and IoT Systems and Connectivity. It provides signal integrity pro",50,Needs confirmation
BHVN,Biohaven Ltd.,Healthcare,Biotechnology,15.36,13.2,3659323,56.21M,1.47,12.56,10.4,11.56,73.9,6.26,2.31B,N/A,-7.86,N/A,N/A,0.0%,0.0%,21.5%,1.7 - Buy,14,5,0,9.0,21.71,50.0,41.3%,"Biohaven Ltd., a biopharmaceutical company, focuses on the discovery, development, and commercialization of treatments for immunology, neuroscience, and oncology therapeutic areas worldwide. It develops BHV-1300, which is in Phase 2 clinical trial to treat Graves' disease and rheumatoid arthritis; BHV-1400 that is in P",45,Needs confirmation
MANE,"Veradermics, Incorporated",Healthcare,Biotechnology,104.7,11.54,438618,45.93M,0.77,95.1,94.68,N/A,52.9,6.47,4.36B,N/A,-34.37,N/A,N/A,0.0%,0.0%,8.7%,1.2 - Strong Buy,6,0,0,120.0,132.8,138.0,26.8%,"Veradermics, Incorporated, a clinical-stage biopharmaceutical company, focused on developing novel therapeutics for dermatologic and aesthetic conditions. The company develops treatments for Pattern Hair Loss affecting adults and children. The company's products include VDPHL01, an oral, non-hormonal treatment for men ",45,Needs confirmation
DFTX,"Definium Therapeutics, Inc.",Healthcare,Biotechnology,37.24,52.14,16803097,625.83M,8.74,25.77,22.93,16.43,81.7,4.74,4.06B,N/A,-23.56,N/A,N/A,0.0%,0.0%,8.7%,1.3 - Strong Buy,16,0,0,25.0,39.87,70.0,7.0%,"Definium Therapeutics, Inc., a clinical biopharmaceutical company, develops novel product candidates to treat brain health disorders. The company's lead product candidates DT120, which is in phase 3 for the treatment of generalized anxiety disorder, major depressive disorder, and other brain health disorders; and DT402",35,Speculative / news-only
APGE,"Apogee Therapeutics, Inc.",Healthcare,Biotechnology,132.62,46.74,49738604,6.60B,51.04,92.93,85.68,69.85,82.0,3.64,10.00B,N/A,-25.53,N/A,N/A,0.0%,0.0%,22.0%,1.4 - Strong Buy,14,4,0,81.0,119.5,160.0,-9.9%,"Apogee Therapeutics, Inc., a clinical stage biotechnology company, develops novel biologics for the treatment of atopic dermatitis, asthma, eosinophilic esophagitis, chronic obstructive pulmonary disease, and other inflammatory and immunology indications in the United States. The company develops Zumilokibart (APG777),",35,Speculative / news-only
ORKA,"Oruka Therapeutics, Inc.",Healthcare,Biotechnology,88.56,22.41,2785455,246.67M,1.74,71.34,65.15,39.06,85.0,5.1,5.34B,N/A,-35.97,N/A,N/A,0.0%,0.0%,16.1%,1.2 - Strong Buy,13,0,0,100.0,142.17,200.0,60.5%,"Oruka Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing novel monoclonal antibody therapeutics for psoriasis (PsO), and other inflammatory and immunology (I&I) indications. Its lead products include ORKA-001 that targets p19 subunit of interleukin-23, which is in phase 2a trial for t",30,Speculative / news-only
UMC,United Microelectronics Corporation,Technology,Semiconductors,27.59,14.58,18934311,522.40M,1.28,22.42,16.87,10.57,64.5,3.94,69.23B,0.29,33.84,5.5%,108.1%,29.6%,18.5%,1.1%,3.8 - Underperform,0,1,3,7.4,10.07,12.74,-63.5%,"United Microelectronics Corporation operates as a semiconductor wafer foundry in Taiwan, China, Hong Kong, Japan, Korea, the United States, Europe, and internationally. It manufactures and sells integrated circuits. The company offers circuit design; mask tooling; wafer fabrication; and assembly and testing services fo",30,Speculative / news-only
KLRA,"Kailera Therapeutics, Inc.",Healthcare,Biotechnology,22.02,10.68,242525,5.34M,0.28,19.61,N/A,N/A,44.8,7.11,2.85B,N/A,-5.9,N/A,N/A,0.0%,0.0%,2.1%,1.2 - Strong Buy,6,0,0,30.0,42.6,57.0,93.4%,"Kailera Therapeutics, Inc. operates as a clinical-stage biopharmaceutical company developing therapies for obesity and related conditions. The company develops clinical- and preclinical-stage therapies, with a product pipeline that includes injectable peptides, oral peptides, and oral small molecules. Key programs incl",30,Speculative / news-only
GENB,"Generate Biomedicines, Inc.",Healthcare,Biotechnology,16.0,10.46,736616,11.79M,1.25,13.72,13.44,N/A,63.9,7.1,2.05B,67.72,-7.75,-18.1%,N/A,0.0%,-887.5%,5.5%,N/A,6,0,0,22.0,25.4,30.0,58.7%,"Generate Biomedicines, Inc., engaged in the field of generative biology by using machine learning for drug discovery and development through the programming of novel protein therapeutics in the United States. It uses protein-based modalities for drug development. Its product includes GB-0895, is an investigational long",30,Speculative / news-only
