Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
WDFC,WD-40 Company,Basic Materials,Specialty Chemicals,268.18,12.01,707913,189.85M,4.2,247.65,218.9,212.25,74.6,3.2,3.61B,5.67,41.39,10.7%,-31.5%,55.7%,16.3%,6.1%,1.5 - Strong Buy,3,1,0,245.0,260.0,270.0,-3.1%,"WD-40 Company engages in the provision of maintenance products and homecare and cleaning products in North America, Central and South America, Asia, Australia, Europe, India, the Middle East, and Africa. The company offers multi-purpose maintenance products that include aerosol sprays, non-aerosol trigger sprays, preci",65,Needs confirmation
EQPT,EquipmentShare.com Inc.,Industrials,Rental & Leasing Services,18.26,14.13,3574381,65.27M,1.53,18.28,21.01,N/A,21.9,8.55,4.61B,0.99,17.86,38.1%,N/A,35.8%,0.1%,11.1%,1.8 - Buy,7,4,0,20.0,34.7,55.0,90.0%,"EquipmentShare.com Inc. provides integrated, full-service construction solutions across equipment rental, sales, and technology. It offers rental of aerial work platforms, electric and hydraulic power tools, vehicles, trailers, attachments, agriculture and landscaping equipment, climate control, compaction, compressed ",50,Needs confirmation
VOD,Vodafone Group Public Limited Company,Communication Services,Telecom Services,14.74,12.73,11824301,174.35M,3.08,13.3,14.76,13.84,56.5,1.37,33.95B,0.84,9.16,N/A,N/A,31.5%,7.8%,0.4%,4.0 - Underperform,0,1,3,11.35,12.62,13.46,-14.4%,"Vodafone Group Public Limited Company provides telecommunication services in Germany, the United Kingdom, rest of Europe, Turkey, and South Africa. It offers mobile and fixed services; connectivity business solutions, such as digital services, the Internet of Things (IoT) and financial services; and IoT platforms. The ",35,Speculative / news-only
PLBL,Polibeli Group Ltd,Consumer Cyclical,Department Stores,7.14,11.29,115018,821803.61,0.87,8.64,7.34,8.59,47.5,16.82,2.62B,99.09,N/A,61.1%,N/A,7.3%,-24.7%,0.7%,N/A,0,0,0,N/A,N/A,N/A,N/A,"Polibeli Group Ltd provides digital supply chain and distribution-sales services in Japan, Indonesia, Hongkong, Europe, and internationally. It offers solutions, including products procurement, channel distribution, warehousing and logistics services, brand operations, and digital marketing services to upstream and dow",35,Speculative / news-only
