Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
GNRC,Generac Holdings Inc.,Industrials,Specialty Industrial Machinery,208.67,19.16,6354660,1.33B,6.01,185.15,204.0,210.06,56.5,3.68,12.31B,2.77,17.65,10.6%,92.0%,39.5%,17.9%,4.6%,1.8 - Buy,14,7,0,214.0,290.12,375.0,39.0%,"Generac Holdings Inc. designs, manufactures, and distributes energy technology products and solutions worldwide. The company offers residential automatic standby generators, automatic transfer switch, air-cooled engine home standby generators, and liquid-cooled engine generators; Mobile Link, a remote monitoring system",80,Watchlist candidate
VICR,Vicor Corporation,Technology,Electronic Components,216.56,17.75,915794,198.32M,1.07,190.29,212.62,206.53,54.9,5.29,9.98B,21.06,39.0,49.3%,14.3%,56.6%,24.3%,8.5%,1.5 - Strong Buy,4,0,0,320.0,386.25,450.0,78.4%,"Vicor Corporation, together with its subsidiaries, designs, develops, manufactures, and markets modular power components and power systems for converting electrical power for use in electrically powered devices in the United States, Europe, the Asia Pacific, and internationally. The company offers a range of brick-form",80,Watchlist candidate
BLSH,Bullish,Technology,Software - Infrastructure,35.31,10.08,903109,31.89M,0.57,34.92,27.81,33.86,54.1,6.25,5.36B,17.81,49.74,68.8%,N/A,100.0%,-314.3%,17.1%,2.0 - Buy,5,5,0,25.0,41.22,53.0,16.7%,"Bullish, a global digital asset platform that provides market infrastructure and information services in United States. The company operates Bullish Exchange, a digital assets spot and derivatives exchange that integrates a central limit order book matching engine with automated market making to provide deep and predic",65,Needs confirmation
PURR,Hyperliquid Strategies Inc.,Financial Services,Capital Markets,12.59,10.05,19733103,248.44M,1.22,11.71,8.78,N/A,48.6,9.2,2.49B,263.3,38.15,N/A,N/A,100.0%,9595.1%,N/A,1.3 - Strong Buy,4,0,0,17.0,22.3,34.2,77.1%,"Hyperliquid Strategies Inc. operates as a digital asset treasury company in the United States. It focuses on building, managing, and optimizing HYPE tokens, which are the native digital assets of the Hyperliquid Layer-1 blockchain. The company is headquartered in New York, New York.",60,Needs confirmation
TEM,"Tempus AI, Inc.",Healthcare,Health Information Services,79.98,14.3,12560026,1.00B,1.99,65.54,56.73,56.13,62.0,5.8,14.43B,10.08,19994.12,21.6%,N/A,64.0%,-20.1%,29.2%,2.2 - Buy,10,8,1,35.0,68.18,100.0,-14.8%,"Tempus AI, Inc. operates as a healthcare technology company in the United States. It offers the Tempus platform, a closed-loop, full-stack, bi-directional integrations between a clinician's desktop and its laboratory diagnostic capabilities, analytics platform, and repository of multimodal data; and Hub, a clinical app",50,Needs confirmation
XE,"X-Energy, Inc.",Industrials,Specialty Industrial Machinery,16.3,11.87,5681505,92.61M,0.98,16.09,17.51,N/A,41.2,8.31,4.69B,31.18,-29.73,196.2%,N/A,-65.4%,-219.5%,10.8%,2.0 - Buy,6,2,1,9.0,34.38,57.0,110.9%,"X-Energy, Inc. designs and develops nuclear reactor technology. The company manufactures nuclear fuels. It provides the Xe-100 reactor that is designed to generate 80 megawatts of electric power or 200 megawatts of thermal output (heat) and TRISO-X, a fuel for reactors. The company was founded in 2009 and is headquarte",50,Needs confirmation
BFLY,"Butterfly Network, Inc.",Healthcare,Medical Devices,8.05,10.92,3745840,30.16M,0.46,7.49,7.99,5.34,42.9,6.28,2.14B,19.13,-161.1,39.5%,N/A,68.2%,-30.9%,15.9%,1.0 - Strong Buy,4,0,0,10.0,10.67,11.0,32.5%,"Butterfly Network, Inc. develops, manufactures, and commercializes ultrasound imaging solutions in the United States and internationally. The company offers Butterfly iQ+ and iQ3 ultrasound devices that can perform whole-body imaging on a single handheld probe integrated with the clinical workflow, and accessible on a ",50,Needs confirmation
TWST,Twist Bioscience Corporation,Healthcare,Biotechnology,158.57,10.83,2099680,332.95M,1.23,135.27,116.9,69.01,54.1,5.86,10.51B,24.35,-250.7,23.2%,N/A,52.0%,-30.6%,23.0%,1.9 - Buy,9,3,1,36.0,106.25,148.0,-33.0%,"Twist Bioscience Corporation manufactures and sells synthetic DNA-based products. It offers synthetic genes and gene fragments used in product development for therapeutics, diagnostics, chemicals/materials, food/agriculture, data storage, and various applications within academic research by biotech, pharma, industrial ",50,Needs confirmation
SMCI,"Super Micro Computer, Inc.",Technology,Computer Hardware,40.69,10.41,48270734,1.96B,0.99,38.32,33.35,31.58,55.4,5.15,26.74B,0.68,7.64,93.2%,434.7%,10.8%,13.4%,18.5%,2.8 - Hold,5,11,3,15.0,42.38,60.0,4.2%,"Super Micro Computer, Inc., together with its subsidiaries, develops and sells server and storage solutions based on modular and open-standard architecture in the United States, Asia, Europe, and internationally. The company offers liquid and air-cooled AI servers for training and inferencing with integrated graphics p",50,Needs confirmation
SDGR,"Schrödinger, Inc.",Healthcare,Health Information Services,28.3,18.26,4569205,129.31M,3.71,21.66,18.15,15.29,78.4,5.31,2.12B,8.17,-20.96,7.5%,N/A,56.9%,-70.6%,26.4%,1.6 - Buy,5,2,0,17.0,21.43,30.0,-24.3%,"Schrödinger, Inc., together with its subsidiaries, develops physics-based computational platform that enables discovery of novel molecules for drug development and materials applications in the United States, the Asia-Pacific, Europe, Middle East, Africa, and internationally. The company operates in two segments, Softw",35,Speculative / news-only
