Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
ALM,Almonty Industries Inc.,Basic Materials,Other Industrial Metals & Mining,13.92,12.26,6793144,94.56M,1.01,13.8,15.09,15.54,35.7,7.95,4.02B,46.8,11.35,497.7%,N/A,49.8%,37.5%,N/A,1.2 - Strong Buy,10,1,0,12.95,24.32,32.5,74.7%,"Almonty Industries Inc. engages in mining, processing, and shipping of tungsten concentrates. The company explores for tin and tungsten deposits. It holds 100% interests in the Canada, Korea, Portugal, Spain, and the United States projects and mines. The company is headquartered in Dillon, Montana.",65,Needs confirmation
PPLI,People Incorporated,Communication Services,Internet Content & Information,39.96,11.22,1604036,64.10M,1.58,37.01,39.93,40.46,54.2,2.91,2.98B,1.25,16.24,-1.5%,160.3%,66.3%,-3.3%,20.0%,1.8 - Buy,8,4,0,48.0,56.8,70.0,42.1%,"People Incorporated, together with its subsidiaries, operates as a media and internet company worldwide. The company publishes original and engaging digital content in the form of articles, illustrations, and videos and images; and magazines related to women and lifestyle under the media platforms and formats, such as ",45,Needs confirmation
MXL,"MaxLinear, Inc.",Technology,Semiconductors,94.04,10.23,2966258,278.95M,0.9,82.84,71.45,51.72,75.5,6.13,8.53B,14.99,35.99,55.2%,N/A,57.5%,-2.4%,7.5%,1.8 - Buy,7,4,0,40.0,94.55,125.0,0.5%,"MaxLinear, Inc. provides communications systems-on-chip solutions in the United States, Asia, Europe, and internationally. Its products integrate various portions of a high-speed communication system, including radio frequency, high-performance analog, mixed-signal, digital signal processing, security engines, data com",35,Speculative / news-only
MAAS,Maase Inc.,Technology,Information Technology Services,15.72,12.05,137678,2.16M,0.55,15.68,16.86,10.55,46.7,9.02,6.95B,1049.84,N/A,N/A,N/A,25.6%,-599.1%,0.2%,N/A,0,0,0,N/A,N/A,N/A,N/A,"Maase Inc. operates as an integrated provider and operator of an artificial intelligence (AI) -centric full-scene digital systems. The company focuses on areas of flexible energy deployment and intelligent commercial network operation, and provide closed-loop solutions from computing infrastructure, smart hardware an",15,Speculative / news-only
